ID	prefLabel	Synonyms_from_taxonomy	Curated_synonyms	Comment	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub
ID	A skos:prefLabel	A oboInOwl:hasExactSynonym SPLIT=|	A oboInOwl:hasExactSynonym SPLIT=|	A rdfs:comment	SC %	>A rdfs:comment	>A oboInOwl:hasDbXref SPLIT=|	SC 'expresses' some % SPLIT=|	>A rdfs:comment	>A oboInOwl:hasDbXref SPLIT=|
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_124	CGE/PoA	RNAseq 001-027, 089-090|n8|CGE/PoA		cell_set_preferred_alias:CGE/PoA ; original_label:n8 ; cell_set_label:RNAseq 001-027, 089-090 ; cell_set_aligned_alias:CGE/PoA						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_125	Lamp5	n9|RNAseq 001-008|Lamp5		cell_set_preferred_alias:Lamp5 ; original_label:n9 ; cell_set_label:RNAseq 001-008 ; cell_set_aligned_alias:Lamp5	CL:4023011		DOI:10.1101/2020.02.29.970558			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_1	Lamp5 Pax6	Lamp5 Pax6|RNAseq 001		cell_set_preferred_alias:Lamp5 Pax6 ; original_label:Lamp5 Pax6 ; cell_set_label:RNAseq 001 ; cell_set_aligned_alias:''						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_2	Lamp5 Egln3_1	RNAseq 002|Lamp5 Egln3_1		cell_set_preferred_alias:Lamp5 Egln3_1 ; original_label:Lamp5 Egln3_1 ; cell_set_label:RNAseq 002 ; cell_set_aligned_alias:''	CL:4023010		DOI:10.1101/2020.02.29.970558			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_128	Lamp5_5	Lamp5_5|n12|RNAseq 003-004		cell_set_preferred_alias:Lamp5_5 ; original_label:n12 ; cell_set_label:RNAseq 003-004 ; cell_set_aligned_alias:''						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_3	Lamp5 Egln3_2	Lamp5 Egln3_2|RNAseq 003		cell_set_preferred_alias:Lamp5 Egln3_2 ; original_label:Lamp5 Egln3_2 ; cell_set_label:RNAseq 003 ; cell_set_aligned_alias:''	CL:4023022		DOI:10.1101/2020.02.29.970558	PR:000032148		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_4	Lamp5 Egln3_3	RNAseq 004|Lamp5 Egln3_3		cell_set_preferred_alias:Lamp5 Egln3_3 ; original_label:Lamp5 Egln3_3 ; cell_set_label:RNAseq 004 ; cell_set_aligned_alias:''				PR:000032148		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_130	Neurogliaform cell	RNAseq 005-007|n14		cell_set_preferred_alias:'' ; original_label:n14 ; cell_set_label:RNAseq 005-007 ; cell_set_aligned_alias:''	CL:4023024		DOI:10.1101/2020.02.29.970558			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_5	Lamp5 Pdlim5_1	RNAseq 005|Lamp5 Pdlim5_1		cell_set_preferred_alias:Lamp5 Pdlim5_1 ; original_label:Lamp5 Pdlim5_1 ; cell_set_label:RNAseq 005 ; cell_set_aligned_alias:''				PR:000032148		10.1101/2020.03.31.016972
