ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Function
ID	LABEL	A skos:prefLabel	TI %	TYPE	I BDSHELP:subcluster_of SPLIT='|'	A oboInOwl:has_exact_synonym	TI capable_of some %
AllenDend:CS202002013_117	All cells - CS202002013_117	 - CS202002013_117	BDSHELP:Cluster	owl:NamedIndividual		n1	
AllenDend:CS202002013_118	RNAseq 001-102 - CS202002013_118	 - CS202002013_118	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_117	n2	
AllenDend:CS202002013_119	RNAseq 001-094 - CS202002013_119	 - CS202002013_119	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_118	n3	
AllenDend:CS202002013_120	RNAseq 001-091 - CS202002013_120	 - CS202002013_120	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_119	n4	
AllenDend:CS202002013_121	RNAseq 001-090 - CS202002013_121	 - CS202002013_121	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_120	n5	
AllenDend:CS202002013_122	RNAseq 001-088 - CS202002013_122	 - CS202002013_122	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_121	n6	
AllenDend:CS202002013_123	RNAseq 001-057, 089-090 - CS202002013_123	GABAergic - CS202002013_123	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_122	n7|GABAergic	
AllenDend:CS202002013_124	RNAseq 001-027, 089-090 - CS202002013_124	CGE/PoA - CS202002013_124	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_123	n8|CGE/PoA	
AllenDend:CS202002013_125	RNAseq 001-008 - CS202002013_125	Lamp5 - CS202002013_125	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_124	n9|Lamp5	
AllenDend:CS202002013_126	RNAseq 001-004 - CS202002013_126	 - CS202002013_126	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_125	n10	
AllenDend:CS202002013_1	RNAseq 001 - CS202002013_1	Lamp5 Pax6 - CS202002013_1	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_126	Lamp5 Pax6	
AllenDend:CS202002013_127	RNAseq 002-004 - CS202002013_127	 - CS202002013_127	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_126	n11	
AllenDend:CS202002013_2	RNAseq 002 - CS202002013_2	Lamp5 Egln3_1 - CS202002013_2	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_127	Lamp5 Egln3_1	
AllenDend:CS202002013_128	RNAseq 003-004 - CS202002013_128	Lamp5_5 - CS202002013_128	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_127	n12	
AllenDend:CS202002013_3	RNAseq 003 - CS202002013_3	Lamp5 Egln3_2 - CS202002013_3	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_128	Lamp5 Egln3_2	
AllenDend:CS202002013_4	RNAseq 004 - CS202002013_4	Lamp5 Egln3_3 - CS202002013_4	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_128	Lamp5 Egln3_3	
AllenDend:CS202002013_129	RNAseq 005-008 - CS202002013_129	 - CS202002013_129	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_125	n13	
AllenDend:CS202002013_130	RNAseq 005-007 - CS202002013_130	 - CS202002013_130	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_129	n14	
AllenDend:CS202002013_131	RNAseq 005-006 - CS202002013_131	 - CS202002013_131	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_130	n15	
AllenDend:CS202002013_5	RNAseq 005 - CS202002013_5	Lamp5 Pdlim5_1 - CS202002013_5	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_131	Lamp5 Pdlim5_1	
AllenDend:CS202002013_6	RNAseq 006 - CS202002013_6	Lamp5 Pdlim5_2 - CS202002013_6	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_131	Lamp5 Pdlim5_2	
AllenDend:CS202002013_7	RNAseq 007 - CS202002013_7	Lamp5 Slc35d3 - CS202002013_7	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_130	Lamp5 Slc35d3	
AllenDend:CS202002013_8	RNAseq 008 - CS202002013_8	Lamp5 Lhx6 - CS202002013_8	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_129	Lamp5 Lhx6|Lamp5 Lhx6	
AllenDend:CS202002013_132	RNAseq 009-027 - CS202002013_132	 - CS202002013_132	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_124	n16	
AllenDend:CS202002013_133	RNAseq 009-014 - CS202002013_133	Sncg - CS202002013_133	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_132	n17|Sncg	
AllenDend:CS202002013_134	RNAseq 009-010 - CS202002013_134	Sncg_2 - CS202002013_134	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_133	n18	
AllenDend:CS202002013_9	RNAseq 009 - CS202002013_9	Sncg Col14a1 - CS202002013_9	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002013_134	Sncg Col14a1	
