ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Exemplar_of
ID	LABEL	A skos:prefLabel	TI %	TYPE	I BDSHELP:subcluster_of SPLIT=|	A oboInOwl:hasExactSynonym	TI capable_of some %	A n2o:cell_set_preferred_alias	A n2o:original_label	A n2o:cell_set_label	A n2o:cell_set_aligned_alias	A n2o:cell_set_additional_aliases SPLIT=|	A n2o:cell_set_alias_assignee SPLIT=|	A n2o:cell_set_alias_citation SPLIT=|	A n2o:node_metadata	TI exemplar_of some %
AllenDend:CS202002270_1	Integrated 01 - CS202002270_1	Lamp5_1 - CS202002270_1	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_57	Lamp5_1		Lamp5_1	Lamp5_1	Integrated 01			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Lamp5_1"", ""original_label"": ""Lamp5_1"", ""cell_set_label"": ""Integrated 01"", ""cell_set_accession"": ""CS202002270_1"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_1
AllenDend:CS202002270_2	Integrated 02 - CS202002270_2	Lamp5_5 - CS202002270_2	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_57	Lamp5_5		Lamp5_5	Lamp5_5	Integrated 02			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Lamp5_5"", ""original_label"": ""Lamp5_5"", ""cell_set_label"": ""Integrated 02"", ""cell_set_accession"": ""CS202002270_2"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_2
AllenDend:CS202002270_3	Integrated 03 - CS202002270_3	Lamp5_2 - CS202002270_3	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_57	Lamp5_2|Lamp5 Rosehip		Lamp5_2	Lamp5_2	Integrated 03		Lamp5 Rosehip	Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Lamp5_2"", ""original_label"": ""Lamp5_2"", ""cell_set_label"": ""Integrated 03"", ""cell_set_accession"": ""CS202002270_3"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": ""Lamp5 Rosehip"", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_3
AllenDend:CS202002270_4	Integrated 04 - CS202002270_4	Lamp5_3 - CS202002270_4	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_57	Lamp5_3|Lamp5 Lhx6		Lamp5_3	Lamp5_3	Integrated 04	Lamp5 Lhx6		Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Lamp5_3"", ""original_label"": ""Lamp5_3"", ""cell_set_label"": ""Integrated 04"", ""cell_set_accession"": ""CS202002270_4"", ""cell_set_aligned_alias"": ""Lamp5 Lhx6"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_4
AllenDend:CS202002270_5	Integrated 05 - CS202002270_5	Sncg_1 - CS202002270_5	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_57	Sncg_1		Sncg_1	Sncg_1	Integrated 05			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Sncg_1"", ""original_label"": ""Sncg_1"", ""cell_set_label"": ""Integrated 05"", ""cell_set_accession"": ""CS202002270_5"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_5
AllenDend:CS202002270_6	Integrated 06 - CS202002270_6	Sncg_2 - CS202002270_6	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_57	Sncg_2		Sncg_2	Sncg_2	Integrated 06			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Sncg_2"", ""original_label"": ""Sncg_2"", ""cell_set_label"": ""Integrated 06"", ""cell_set_accession"": ""CS202002270_6"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_6
AllenDend:CS202002270_7	Integrated 07 - CS202002270_7	Lamp5_4 - CS202002270_7	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_57	Lamp5_4		Lamp5_4	Lamp5_4	Integrated 07			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Lamp5_4"", ""original_label"": ""Lamp5_4"", ""cell_set_label"": ""Integrated 07"", ""cell_set_accession"": ""CS202002270_7"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_7
AllenDend:CS202002270_8	Integrated 08 - CS202002270_8	Sncg_3 - CS202002270_8	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_57	Sncg_3		Sncg_3	Sncg_3	Integrated 08			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Sncg_3"", ""original_label"": ""Sncg_3"", ""cell_set_label"": ""Integrated 08"", ""cell_set_accession"": ""CS202002270_8"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_8
AllenDend:CS202002270_9	Integrated 09 - CS202002270_9	Sncg_4 - CS202002270_9	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_57	Sncg_4		Sncg_4	Sncg_4	Integrated 09			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Sncg_4"", ""original_label"": ""Sncg_4"", ""cell_set_label"": ""Integrated 09"", ""cell_set_accession"": ""CS202002270_9"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_9
