ID	Label	PrefLabel	Obsoleted By	Obsolete	Entity Type	TYPE	Synonyms	Cluster_ID	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Comment	Aliases	Rank
ID	LABEL	A skos:prefLabel	AI obo:IAO_0100001	AT owl:deprecated^^xsd:boolean	TI %	TYPE	A oboInOwl:hasExactSynonym SPLIT=|	A 'cluster id'	A n2o:cell_set_preferred_alias	A n2o:original_label	A n2o:cell_set_label	A n2o:cell_set_aligned_alias	A n2o:cell_set_additional_aliases SPLIT=|	A n2o:cell_set_alias_assignee SPLIT=|	A n2o:cell_set_alias_citation SPLIT=|	A n2o:node_metadata	A rdfs:comment	A oboInOwl:hasRelatedSynonym SPLIT=|	A 'cell_type_rank' SPLIT=|
PCL:0011501	obsolete RNAseq 001 - CS202002013_1	obsolete Lamp5-like Pax6	PCL_INDV:CS202002013_1	true	PCL:0010001	owl:NamedIndividual	Lamp5_4|Lamp5 Pax6	CS202002013_1	Lamp5-like Pax6	Lamp5 Pax6	RNAseq 001	Lamp5_4	Lamp5 Pax6	Zizhen Yao|Nikolas Jorstad|Zizhen Yao	PMID:34616066|PMID:34616062|PMID:34616066	"{""cell_set_preferred_alias"": ""Lamp5-like Pax6"", ""original_label"": ""Lamp5 Pax6"", ""cell_set_label"": ""RNAseq 001"", ""cell_set_accession"": ""CS202002013_1"", ""cell_set_aligned_alias"": ""Lamp5_4"", ""cell_set_additional_aliases"": ""Lamp5 Pax6"", ""cell_set_alias_assignee"": ""Zizhen Yao|Nikolas Jorstad|Zizhen Yao"", ""cell_set_alias_citation"": ""PMID:34616066|PMID:34616062|PMID:34616066"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Mouse"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN202002013"", ""taxonomy_description"": ""Mouse MOp BICCN taxonomy using multiple RNA-Seq datasets "", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""cell_set_color"": ""#DDACC9""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Lamp5_4	Cell Type
PCL:0011502	obsolete RNAseq 002 - CS202002013_2	obsolete Lamp5-like Egln3_1	PCL_INDV:CS202002013_2	true	PCL:0010001	owl:NamedIndividual	Sncg_4|Alpha7 cell	CS202002013_2	Lamp5-like Egln3_1	Lamp5 Egln3_1	RNAseq 002	Sncg_4	Alpha7 cell	Zizhen Yao|Nikolas Jorstad|Federico Scala	PMID:34616066|PMID:34616062|PMID:33184512	"{""cell_set_preferred_alias"": ""Lamp5-like Egln3_1"", ""original_label"": ""Lamp5 Egln3_1"", ""cell_set_label"": ""RNAseq 002"", ""cell_set_accession"": ""CS202002013_2"", ""cell_set_aligned_alias"": ""Sncg_4"", ""cell_set_additional_aliases"": ""Alpha7 cell"", ""cell_set_alias_assignee"": ""Zizhen Yao|Nikolas Jorstad|Federico Scala"", ""cell_set_alias_citation"": ""PMID:34616066|PMID:34616062|PMID:33184512"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Mouse"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN202002013"", ""taxonomy_description"": ""Mouse MOp BICCN taxonomy using multiple RNA-Seq datasets "", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""cell_set_color"": ""#FF88AD""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Sncg_4|Alpha7 cell	Cell Type
PCL:0011503	obsolete RNAseq 003 - CS202002013_3	obsolete Lamp5 Egln3_2	PCL_INDV:CS202002013_3	true	PCL:0010001	owl:NamedIndividual	Canopy cell	CS202002013_3	Lamp5 Egln3_2	Lamp5 Egln3_2	RNAseq 003		Canopy cell	Zizhen Yao|Federico Scala|Zizhen Yao	PMID:34616066|PMID:33184512|PMID:34616066	"{""cell_set_preferred_alias"": ""Lamp5 Egln3_2"", ""original_label"": ""Lamp5 Egln3_2"", ""cell_set_label"": ""RNAseq 003"", ""cell_set_accession"": ""CS202002013_3"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": ""Canopy cell"", ""cell_set_alias_assignee"": ""Zizhen Yao|Federico Scala|Zizhen Yao"", ""cell_set_alias_citation"": ""PMID:34616066|PMID:33184512|PMID:34616066"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Mouse"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN202002013"", ""taxonomy_description"": ""Mouse MOp BICCN taxonomy using multiple RNA-Seq datasets "", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""cell_set_color"": ""#DD8091""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Canopy cell|Lamp5-like_C5	Cell Type
PCL:0011504	obsolete RNAseq 004 - CS202002013_4	obsolete Lamp5 Egln3_3	PCL_INDV:CS202002013_4	true	PCL:0010001	owl:NamedIndividual	Lamp5 Egln3_3	CS202002013_4	Lamp5 Egln3_3	Lamp5 Egln3_3	RNAseq 004		Lamp5 Egln3_3	Zizhen Yao	PMID:34616066	"{""cell_set_preferred_alias"": ""Lamp5 Egln3_3"", ""original_label"": ""Lamp5 Egln3_3"", ""cell_set_label"": ""RNAseq 004"", ""cell_set_accession"": ""CS202002013_4"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": ""Lamp5 Egln3_3"", ""cell_set_alias_assignee"": ""Zizhen Yao"", ""cell_set_alias_citation"": ""PMID:34616066"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Mouse"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN202002013"", ""taxonomy_description"": ""Mouse MOp BICCN taxonomy using multiple RNA-Seq datasets "", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""cell_set_color"": ""#F08E98""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Lamp5-like_C5	Cell Type
PCL:0011505	obsolete RNAseq 005 - CS202002013_5	obsolete Lamp5 Pdlim5_1	PCL_INDV:CS202002013_5	true	PCL:0010001	owl:NamedIndividual	Lamp5_1	CS202002013_5	Lamp5 Pdlim5_1	Lamp5 Pdlim5_1	RNAseq 005	Lamp5_1		Zizhen Yao|Nikolas Jorstad	PMID:34616066|PMID:34616062	"{""cell_set_preferred_alias"": ""Lamp5 Pdlim5_1"", ""original_label"": ""Lamp5 Pdlim5_1"", ""cell_set_label"": ""RNAseq 005"", ""cell_set_accession"": ""CS202002013_5"", ""cell_set_aligned_alias"": ""Lamp5_1"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Zizhen Yao|Nikolas Jorstad"", ""cell_set_alias_citation"": ""PMID:34616066|PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Mouse"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN202002013"", ""taxonomy_description"": ""Mouse MOp BICCN taxonomy using multiple RNA-Seq datasets "", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""cell_set_color"": ""#FF7290""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Lamp5_1|Neurogliaform cell	Cell Type
PCL:0011506	obsolete RNAseq 006 - CS202002013_6	obsolete Lamp5 Pdlim5_2	PCL_INDV:CS202002013_6	true	PCL:0010001	owl:NamedIndividual		CS202002013_6	Lamp5 Pdlim5_2	Lamp5 Pdlim5_2	RNAseq 006			Zizhen Yao	PMID:34616066	"{""cell_set_preferred_alias"": ""Lamp5 Pdlim5_2"", ""original_label"": ""Lamp5 Pdlim5_2"", ""cell_set_label"": ""RNAseq 006"", ""cell_set_accession"": ""CS202002013_6"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Zizhen Yao"", ""cell_set_alias_citation"": ""PMID:34616066"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Mouse"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN202002013"", ""taxonomy_description"": ""Mouse MOp BICCN taxonomy using multiple RNA-Seq datasets "", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""cell_set_color"": ""#FF8C97""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Neurogliaform cell|Lamp5-like_C2	Cell Type
PCL:0011507	obsolete RNAseq 007 - CS202002013_7	obsolete Lamp5 Slc35d3	PCL_INDV:CS202002013_7	true	PCL:0010001	owl:NamedIndividual		CS202002013_7	Lamp5 Slc35d3	Lamp5 Slc35d3	RNAseq 007			Zizhen Yao	PMID:34616066	"{""cell_set_preferred_alias"": ""Lamp5 Slc35d3"", ""original_label"": ""Lamp5 Slc35d3"", ""cell_set_label"": ""RNAseq 007"", ""cell_set_accession"": ""CS202002013_7"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Zizhen Yao"", ""cell_set_alias_citation"": ""PMID:34616066"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Mouse"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN202002013"", ""taxonomy_description"": ""Mouse MOp BICCN taxonomy using multiple RNA-Seq datasets "", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""cell_set_color"": ""#FFA388""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Neurogliaform cell|Lamp5-like_C3	Cell Type
PCL:0011508	obsolete RNAseq 008 - CS202002013_8	obsolete Lamp5 Lhx6	PCL_INDV:CS202002013_8	true	PCL:0010001	owl:NamedIndividual	Lamp5 Lhx6|Lamp5_3|L5/6 neurogliaform cell	CS202002013_8	Lamp5 Lhx6	Lamp5 Lhx6	RNAseq 008	Lamp5 Lhx6	Lamp5_3|L5/6 neurogliaform cell	Zizhen Yao|Nikolas Jorstad|Federico Scala	PMID:34616066|PMID:34616062|PMID:33184512	"{""cell_set_preferred_alias"": ""Lamp5 Lhx6"", ""original_label"": ""Lamp5 Lhx6"", ""cell_set_label"": ""RNAseq 008"", ""cell_set_accession"": ""CS202002013_8"", ""cell_set_aligned_alias"": ""Lamp5 Lhx6"", ""cell_set_additional_aliases"": ""Lamp5_3|L5/6 neurogliaform cell"", ""cell_set_alias_assignee"": ""Zizhen Yao||Nikolas Jorstad|Federico Scala"", ""cell_set_alias_citation"": ""PMID:34616066||PMID:34616062|PMID:33184512"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Mouse"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN202002013"", ""taxonomy_description"": ""Mouse MOp BICCN taxonomy using multiple RNA-Seq datasets "", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""cell_set_color"": ""#C77963""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Lamp5_3|L5/6 neurogliaform cell	Cell Type
PCL:0011509	obsolete RNAseq 009 - CS202002013_9	obsolete Sncg Col14a1	PCL_INDV:CS202002013_9	true	PCL:0010001	owl:NamedIndividual		CS202002013_9	Sncg Col14a1	Sncg Col14a1	RNAseq 009			Zizhen Yao	PMID:34616066	"{""cell_set_preferred_alias"": ""Sncg Col14a1"", ""original_label"": ""Sncg Col14a1"", ""cell_set_label"": ""RNAseq 009"", ""cell_set_accession"": ""CS202002013_9"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Zizhen Yao"", ""cell_set_alias_citation"": ""PMID:34616066"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Mouse"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN202002013"", ""taxonomy_description"": ""Mouse MOp BICCN taxonomy using multiple RNA-Seq datasets "", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""cell_set_color"": ""#7E0ACB""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Sncg-like_C2|Large CCK basket cell	Cell Type
