ID	Label	PrefLabel	Obsoleted By	Obsolete	Entity Type	TYPE	Synonyms	Cluster_ID	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Comment	Aliases	Rank
ID	LABEL	A skos:prefLabel	AI obo:IAO_0100001	AT owl:deprecated^^xsd:boolean	TI %	TYPE	A oboInOwl:hasExactSynonym SPLIT=|	A 'cluster id'	A n2o:cell_set_preferred_alias	A n2o:original_label	A n2o:cell_set_label	A n2o:cell_set_aligned_alias	A n2o:cell_set_additional_aliases SPLIT=|	A n2o:cell_set_alias_assignee SPLIT=|	A n2o:cell_set_alias_citation SPLIT=|	A n2o:node_metadata	A rdfs:comment	A oboInOwl:hasRelatedSynonym SPLIT=|	A 'cell_type_rank' SPLIT=|
PCL:0019501	obsolete RNAseq 01 - CS201912132_1	obsolete Inh SST NPY	PCL_INDV:CS201912132_1	true	PCL:0010001	owl:NamedIndividual	Sst Chodl	CS201912132_1	Inh SST NPY	Inh SST NPY	RNAseq 01	Sst Chodl		Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh SST NPY"", ""cell_set_label"": ""RNAseq 01"", ""cell_set_accession"": ""CS201912132_1"", ""cell_set_aligned_alias"": ""Sst Chodl"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type,Subclass"", ""original_label"": ""Inh SST NPY"", ""cell_set_color"": ""#FFEA00""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Sst Chodl	Cell Type|Subclass
PCL:0019502	obsolete RNAseq 02 - CS201912132_2	obsolete Inh LAMP5 COL5A2	PCL_INDV:CS201912132_2	true	PCL:0010001	owl:NamedIndividual	Lamp5_5	CS201912132_2	Inh LAMP5 COL5A2	Inh LAMP5 COL5A2	RNAseq 02	Lamp5_5		Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh LAMP5 COL5A2"", ""cell_set_label"": ""RNAseq 02"", ""cell_set_accession"": ""CS201912132_2"", ""cell_set_aligned_alias"": ""Lamp5_5"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh LAMP5 COL5A2"", ""cell_set_color"": ""#BF5474""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Inh LAMP5 COL5A2	Cell Type
PCL:0019503	obsolete RNAseq 03 - CS201912132_3	obsolete Inh LAMP5 TOX2	PCL_INDV:CS201912132_3	true	PCL:0010001	owl:NamedIndividual	Lamp5_1	CS201912132_3	Inh LAMP5 TOX2	Inh LAMP5 TOX2	RNAseq 03	Lamp5_1		Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh LAMP5 TOX2"", ""cell_set_label"": ""RNAseq 03"", ""cell_set_accession"": ""CS201912132_3"", ""cell_set_aligned_alias"": ""Lamp5_1"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh LAMP5 TOX2"", ""cell_set_color"": ""#A75052""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Inh LAMP5 TOX2	Cell Type
PCL:0019504	obsolete RNAseq 04 - CS201912132_4	obsolete Inh LAMP5 TRPC6	PCL_INDV:CS201912132_4	true	PCL:0010001	owl:NamedIndividual	Lamp5 Lhx6|Lamp5_3	CS201912132_4	Inh LAMP5 TRPC6	Inh LAMP5 TRPC6	RNAseq 04	Lamp5 Lhx6	Lamp5_3	Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh LAMP5 TRPC6"", ""cell_set_label"": ""RNAseq 04"", ""cell_set_accession"": ""CS201912132_4"", ""cell_set_aligned_alias"": ""Lamp5 Lhx6"", ""cell_set_additional_aliases"": ""Lamp5_3"", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh LAMP5 TRPC6"", ""cell_set_color"": ""#FFA0A8""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Inh LAMP5 TRPC6	Cell Type
PCL:0019505	obsolete RNAseq 05 - CS201912132_5	obsolete Inh LAMP5 WWP1	PCL_INDV:CS201912132_5	true	PCL:0010001	owl:NamedIndividual		CS201912132_5	Inh LAMP5 WWP1	Inh LAMP5 WWP1	RNAseq 05			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh LAMP5 WWP1"", ""cell_set_label"": ""RNAseq 05"", ""cell_set_accession"": ""CS201912132_5"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh LAMP5 WWP1"", ""cell_set_color"": ""#AA6D6C""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Inh LAMP5 WWP1	Cell Type
PCL:0019506	obsolete RNAseq 06 - CS201912132_6	obsolete Inh LAMP5 LOC108591196	PCL_INDV:CS201912132_6	true	PCL:0010001	owl:NamedIndividual		CS201912132_6	Inh LAMP5 LOC108591196	Inh LAMP5 LOC108591196	RNAseq 06			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh LAMP5 LOC108591196"", ""cell_set_label"": ""RNAseq 06"", ""cell_set_accession"": ""CS201912132_6"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh LAMP5 LOC108591196"", ""cell_set_color"": ""#E2A9AF""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Inh LAMP5 LOC108591196	Cell Type
PCL:0019507	obsolete RNAseq 07 - CS201912132_7	obsolete Inh PAX6 HMBOX1	PCL_INDV:CS201912132_7	true	PCL:0010001	owl:NamedIndividual	Lamp5_4	CS201912132_7	Inh PAX6 HMBOX1	Inh PAX6 HMBOX1	RNAseq 07	Lamp5_4		Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh PAX6 HMBOX1"", ""cell_set_label"": ""RNAseq 07"", ""cell_set_accession"": ""CS201912132_7"", ""cell_set_aligned_alias"": ""Lamp5_4"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh PAX6 HMBOX1"", ""cell_set_color"": ""#F1757C""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Inh PAX6 HMBOX1	Cell Type
PCL:0019508	obsolete RNAseq 08 - CS201912132_8	obsolete Inh SNCG PLPPR1	PCL_INDV:CS201912132_8	true	PCL:0010001	owl:NamedIndividual	Sncg_2	CS201912132_8	Inh SNCG PLPPR1	Inh SNCG PLPPR1	RNAseq 08	Sncg_2		Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh SNCG PLPPR1"", ""cell_set_label"": ""RNAseq 08"", ""cell_set_accession"": ""CS201912132_8"", ""cell_set_aligned_alias"": ""Sncg_2"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh SNCG PLPPR1"", ""cell_set_color"": ""#8D4CDA""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Inh SNCG PLPPR1	Cell Type
PCL:0019509	obsolete RNAseq 09 - CS201912132_9	obsolete Inh PAX6 ANKRD6	PCL_INDV:CS201912132_9	true	PCL:0010001	owl:NamedIndividual		CS201912132_9	Inh PAX6 ANKRD6	Inh PAX6 ANKRD6	RNAseq 09			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh PAX6 ANKRD6"", ""cell_set_label"": ""RNAseq 09"", ""cell_set_accession"": ""CS201912132_9"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh PAX6 ANKRD6"", ""cell_set_color"": ""#C200C9""}"	This term has been obsoleted and replaced with updated by an updated term from the Brain Data Standards ontology, please see 'term replaced by' axiom to for the new term.	Inh PAX6 ANKRD6	Cell Type
