ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Cluster_ID	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Exemplar_of	Comment	Aliases	Rank
ID	LABEL	A skos:prefLabel	TI %	TYPE	I 'subcluster of' SPLIT=|	A oboInOwl:hasExactSynonym SPLIT=|	A 'cluster id'	TI capable_of some %	A n2o:cell_set_preferred_alias	A n2o:original_label	A n2o:cell_set_label	A n2o:cell_set_aligned_alias	A n2o:cell_set_additional_aliases SPLIT=|	A n2o:cell_set_alias_assignee SPLIT=|	A n2o:cell_set_alias_citation SPLIT=|	A n2o:node_metadata	TI 'exemplar data of' some %	A rdfs:comment	A oboInOwl:hasRelatedSynonym SPLIT=|	A 'cell_type_rank' SPLIT=|
PCL:0019501	RNAseq 01 - CS201912132_1	Inh SST NPY	PCL:0010001	owl:NamedIndividual	PCL:0019619	Sst Chodl	CS201912132_1		Inh SST NPY	Inh SST NPY	RNAseq 01	Sst Chodl		Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh SST NPY"", ""cell_set_label"": ""RNAseq 01"", ""cell_set_accession"": ""CS201912132_1"", ""cell_set_aligned_alias"": ""Sst Chodl"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type,Subclass"", ""original_label"": ""Inh SST NPY"", ""cell_set_color"": ""#FFEA00""}"	http://purl.obolibrary.org/obo/PCL_0019001	Sst Chodl is: Distinct Sst type expressing Chodl in mouse; the only reported long-range projecting GABAergic type. In Marmoset primary motor cortex (CCN201912132), Sst Chodl has 1 child type: Inh SST NPY. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is CHODL and NOS1 (F-beta = 0.847), based on the NS Forest method of marker gene selection. Sst Chodl cells represent 0.00173706344852807% of all GABAergic cells collected in the marmoset M1 10Xv3 dataset. Sst Chodl cells have an average of 4411 genes detected, which is 859 more than the average for all GABAergic cells (3552).	Sst Chodl	Cell Type|Subclass
PCL:0019502	RNAseq 02 - CS201912132_2	Inh LAMP5 COL5A2	PCL:0010001	owl:NamedIndividual	PCL:0019642	Lamp5_5	CS201912132_2		Inh LAMP5 COL5A2	Inh LAMP5 COL5A2	RNAseq 02	Lamp5_5		Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh LAMP5 COL5A2"", ""cell_set_label"": ""RNAseq 02"", ""cell_set_accession"": ""CS201912132_2"", ""cell_set_aligned_alias"": ""Lamp5_5"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh LAMP5 COL5A2"", ""cell_set_color"": ""#BF5474""}"	http://purl.obolibrary.org/obo/PCL_0019002	In Marmoset primary motor cortex (CCN201912132), Inh LAMP5 COL5A2 is a member of the Lamp5 subclass. Inh LAMP5 COL5A2 includes the additional alias Lamp5_5. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is GLIS3 and TOX3 (F-beta = 0.699), based on the NS Forest method of marker gene selection. Inh LAMP5 COL5A2 cells represent 10.93% of all Lamp5 cells collected in the marmoset M1 10Xv3 dataset. Inh LAMP5 COL5A2 cells have an average of 3359 genes detected, which is 200 less than the average for all Lamp5 cells (3559).	Inh LAMP5 COL5A2	Cell Type
PCL:0019503	RNAseq 03 - CS201912132_3	Inh LAMP5 TOX2	PCL:0010001	owl:NamedIndividual	PCL:0019642	Lamp5_1	CS201912132_3		Inh LAMP5 TOX2	Inh LAMP5 TOX2	RNAseq 03	Lamp5_1		Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh LAMP5 TOX2"", ""cell_set_label"": ""RNAseq 03"", ""cell_set_accession"": ""CS201912132_3"", ""cell_set_aligned_alias"": ""Lamp5_1"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh LAMP5 TOX2"", ""cell_set_color"": ""#A75052""}"	http://purl.obolibrary.org/obo/PCL_0019003	In Marmoset primary motor cortex (CCN201912132), Inh LAMP5 TOX2 is a member of the Lamp5 subclass. Inh LAMP5 TOX2 includes the additional alias Lamp5_1. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is ALK and RELN and TOX2 (F-beta = 0.6), based on the NS Forest method of marker gene selection. Inh LAMP5 TOX2 cells represent 6.31% of all Lamp5 cells collected in the marmoset M1 10Xv3 dataset. Inh LAMP5 TOX2 cells have an average of 3528 genes detected, which is 31 less than the average for all Lamp5 cells (3559).	Inh LAMP5 TOX2	Cell Type
PCL:0019504	RNAseq 04 - CS201912132_4	Inh LAMP5 TRPC6	PCL:0010001	owl:NamedIndividual	PCL:0019643	Lamp5 Lhx6|Lamp5_3	CS201912132_4		Inh LAMP5 TRPC6	Inh LAMP5 TRPC6	RNAseq 04	Lamp5 Lhx6	Lamp5_3	Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh LAMP5 TRPC6"", ""cell_set_label"": ""RNAseq 04"", ""cell_set_accession"": ""CS201912132_4"", ""cell_set_aligned_alias"": ""Lamp5 Lhx6"", ""cell_set_additional_aliases"": ""Lamp5_3"", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh LAMP5 TRPC6"", ""cell_set_color"": ""#FFA0A8""}"	http://purl.obolibrary.org/obo/PCL_0019004	In Marmoset primary motor cortex (CCN201912132), Inh LAMP5 TRPC6 is a member of the Lamp5 subclass. Inh LAMP5 TRPC6 includes the additional alias Lamp5_3. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is TACR1 and TRPC6 (F-beta = 0.78), based on the NS Forest method of marker gene selection. Inh LAMP5 TRPC6 cells represent 19.01% of all Lamp5 cells collected in the marmoset M1 10Xv3 dataset. Inh LAMP5 TRPC6 cells have an average of 3766 genes detected, which is 207 more than the average for all Lamp5 cells (3559).	Inh LAMP5 TRPC6	Cell Type
PCL:0019505	RNAseq 05 - CS201912132_5	Inh LAMP5 WWP1	PCL:0010001	owl:NamedIndividual	PCL:0019620		CS201912132_5		Inh LAMP5 WWP1	Inh LAMP5 WWP1	RNAseq 05			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh LAMP5 WWP1"", ""cell_set_label"": ""RNAseq 05"", ""cell_set_accession"": ""CS201912132_5"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh LAMP5 WWP1"", ""cell_set_color"": ""#AA6D6C""}"	http://purl.obolibrary.org/obo/PCL_0019005	In Marmoset primary motor cortex (CCN201912132), Inh LAMP5 WWP1 is a member of the Lamp5 subclass. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is KIT and NTNG1 (F-beta = 0.551), based on the NS Forest method of marker gene selection. Inh LAMP5 WWP1 cells represent 18.74% of all Lamp5 cells collected in the marmoset M1 10Xv3 dataset. Inh LAMP5 WWP1 cells have an average of 3296 genes detected, which is 263 less than the average for all Lamp5 cells (3559).	Inh LAMP5 WWP1	Cell Type
PCL:0019506	RNAseq 06 - CS201912132_6	Inh LAMP5 LOC108591196	PCL:0010001	owl:NamedIndividual	PCL:0019620		CS201912132_6		Inh LAMP5 LOC108591196	Inh LAMP5 LOC108591196	RNAseq 06			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh LAMP5 LOC108591196"", ""cell_set_label"": ""RNAseq 06"", ""cell_set_accession"": ""CS201912132_6"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh LAMP5 LOC108591196"", ""cell_set_color"": ""#E2A9AF""}"	http://purl.obolibrary.org/obo/PCL_0019006	In Marmoset primary motor cortex (CCN201912132), Inh LAMP5 LOC108591196 is a member of the Lamp5 subclass. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is COL25A1 and KIT (F-beta = 0.675), based on the NS Forest method of marker gene selection. Inh LAMP5 LOC108591196 cells represent 29.53% of all Lamp5 cells collected in the marmoset M1 10Xv3 dataset. Inh LAMP5 LOC108591196 cells have an average of 3720 genes detected, which is 161 more than the average for all Lamp5 cells (3559).	Inh LAMP5 LOC108591196	Cell Type
PCL:0019507	RNAseq 07 - CS201912132_7	Inh PAX6 HMBOX1	PCL:0010001	owl:NamedIndividual	PCL:0019595|PCL:0019648|PCL:0019650	Lamp5_4	CS201912132_7		Inh PAX6 HMBOX1	Inh PAX6 HMBOX1	RNAseq 07	Lamp5_4		Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh PAX6 HMBOX1"", ""cell_set_label"": ""RNAseq 07"", ""cell_set_accession"": ""CS201912132_7"", ""cell_set_aligned_alias"": ""Lamp5_4"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh PAX6 HMBOX1"", ""cell_set_color"": ""#F1757C""}"	http://purl.obolibrary.org/obo/PCL_0019007	In Marmoset primary motor cortex (CCN201912132), Inh PAX6 HMBOX1 is a member of the Lamp5 subclass. Inh PAX6 HMBOX1 includes the additional alias Lamp5_4. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is RELN and SORCS3 (F-beta = 0.801), based on the NS Forest method of marker gene selection. Inh PAX6 HMBOX1 cells represent 15.48% of all Lamp5 cells collected in the marmoset M1 10Xv3 dataset. Inh PAX6 HMBOX1 cells have an average of 3468 genes detected, which is 91 less than the average for all Lamp5 cells (3559).	Inh PAX6 HMBOX1	Cell Type
PCL:0019508	RNAseq 08 - CS201912132_8	Inh SNCG PLPPR1	PCL:0010001	owl:NamedIndividual	PCL:0019651	Sncg_2	CS201912132_8		Inh SNCG PLPPR1	Inh SNCG PLPPR1	RNAseq 08	Sncg_2		Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh SNCG PLPPR1"", ""cell_set_label"": ""RNAseq 08"", ""cell_set_accession"": ""CS201912132_8"", ""cell_set_aligned_alias"": ""Sncg_2"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh SNCG PLPPR1"", ""cell_set_color"": ""#8D4CDA""}"	http://purl.obolibrary.org/obo/PCL_0019008	In Marmoset primary motor cortex (CCN201912132), Inh SNCG PLPPR1 is a member of the Sncg subclass. Inh SNCG PLPPR1 includes the additional alias Sncg_2. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is CNR1 and TRPM3 (F-beta = 0.748), based on the NS Forest method of marker gene selection. Inh SNCG PLPPR1 cells represent 11.77% of all Sncg cells collected in the marmoset M1 10Xv3 dataset. Inh SNCG PLPPR1 cells have an average of 4037 genes detected, which is 707 more than the average for all Sncg cells (3330).	Inh SNCG PLPPR1	Cell Type
PCL:0019509	RNAseq 09 - CS201912132_9	Inh PAX6 ANKRD6	PCL:0010001	owl:NamedIndividual	PCL:0019621|PCL:0019651		CS201912132_9		Inh PAX6 ANKRD6	Inh PAX6 ANKRD6	RNAseq 09			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh PAX6 ANKRD6"", ""cell_set_label"": ""RNAseq 09"", ""cell_set_accession"": ""CS201912132_9"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh PAX6 ANKRD6"", ""cell_set_color"": ""#C200C9""}"	http://purl.obolibrary.org/obo/PCL_0019009	In Marmoset primary motor cortex (CCN201912132), Inh PAX6 ANKRD6 is a member of the Sncg subclass. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is FBN2 and GPRIN3 and SPACA1 (F-beta = 0.382), based on the NS Forest method of marker gene selection. Inh PAX6 ANKRD6 cells represent 6.35% of all Sncg cells collected in the marmoset M1 10Xv3 dataset. Inh PAX6 ANKRD6 cells have an average of 3670 genes detected, which is 340 more than the average for all Sncg cells (3330).	Inh PAX6 ANKRD6	Cell Type
