ID	Exemplar
ID	EC CL:0000003 and 'has_exemplar' value %
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_76	AllenDend:CS201908210_76
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_77	AllenDend:CS201908210_77
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_78	AllenDend:CS201908210_78
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_79	AllenDend:CS201908210_79
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_80	AllenDend:CS201908210_80
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_81	AllenDend:CS201908210_81
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_1	AllenDend:CS201908210_1
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_2	AllenDend:CS201908210_2
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_82	AllenDend:CS201908210_82
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_3	AllenDend:CS201908210_3
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_83	AllenDend:CS201908210_83
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_84	AllenDend:CS201908210_84
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_4	AllenDend:CS201908210_4
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_5	AllenDend:CS201908210_5
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_6	AllenDend:CS201908210_6
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_85	AllenDend:CS201908210_85
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_86	AllenDend:CS201908210_86
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_87	AllenDend:CS201908210_87
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_88	AllenDend:CS201908210_88
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_89	AllenDend:CS201908210_89
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_7	AllenDend:CS201908210_7
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_8	AllenDend:CS201908210_8
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_9	AllenDend:CS201908210_9
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_90	AllenDend:CS201908210_90
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_10	AllenDend:CS201908210_10
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_91	AllenDend:CS201908210_91
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_11	AllenDend:CS201908210_11
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_12	AllenDend:CS201908210_12
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_92	AllenDend:CS201908210_92
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_13	AllenDend:CS201908210_13
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_14	AllenDend:CS201908210_14
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_93	AllenDend:CS201908210_93
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_94	AllenDend:CS201908210_94
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_95	AllenDend:CS201908210_95
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_96	AllenDend:CS201908210_96
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_15	AllenDend:CS201908210_15
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_16	AllenDend:CS201908210_16
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_17	AllenDend:CS201908210_17
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_97	AllenDend:CS201908210_97
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_18	AllenDend:CS201908210_18
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_19	AllenDend:CS201908210_19
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_98	AllenDend:CS201908210_98
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_99	AllenDend:CS201908210_99
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_100	AllenDend:CS201908210_100
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_101	AllenDend:CS201908210_101
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_20	AllenDend:CS201908210_20
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_21	AllenDend:CS201908210_21
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_22	AllenDend:CS201908210_22
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_23	AllenDend:CS201908210_23
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_102	AllenDend:CS201908210_102
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_103	AllenDend:CS201908210_103
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_24	AllenDend:CS201908210_24
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_25	AllenDend:CS201908210_25
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_104	AllenDend:CS201908210_104
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_26	AllenDend:CS201908210_26
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_27	AllenDend:CS201908210_27
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_105	AllenDend:CS201908210_105
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_106	AllenDend:CS201908210_106
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_28	AllenDend:CS201908210_28
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_107	AllenDend:CS201908210_107
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_108	AllenDend:CS201908210_108
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_109	AllenDend:CS201908210_109
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_110	AllenDend:CS201908210_110
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_29	AllenDend:CS201908210_29
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_111	AllenDend:CS201908210_111
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_112	AllenDend:CS201908210_112
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_113	AllenDend:CS201908210_113
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_30	AllenDend:CS201908210_30
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_31	AllenDend:CS201908210_31
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_114	AllenDend:CS201908210_114
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_32	AllenDend:CS201908210_32
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_33	AllenDend:CS201908210_33
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_34	AllenDend:CS201908210_34
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_115	AllenDend:CS201908210_115
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_116	AllenDend:CS201908210_116
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_35	AllenDend:CS201908210_35
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_36	AllenDend:CS201908210_36
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_37	AllenDend:CS201908210_37
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_38	AllenDend:CS201908210_38
