ID	prefLabel	Synonyms_from_taxonomy	Curated_synonyms	Comment	Classification	Classification_comment	Classification_pub
ID	A skos:prefLabel	A oboInOwl:hasExactSynonym SPLIT='|'	A oboInOwl:hasExactSynonym SPLIT='|'	A rdfs:comment	SC %	>A rdfs:comment	>A oio:hasDbXref SPLIT='|'
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_134		n1|All cells		cell_set_preferred_alias:'' ; original_label:n1 ; cell_set_label:All cells ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_135		VISp_ALM 001-123|n2		cell_set_preferred_alias:'' ; original_label:n2 ; cell_set_label:VISp_ALM 001-123 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_136	Neuronal	n3|Neuronal|VISp_ALM 001-117		cell_set_preferred_alias:Neuronal ; original_label:n3 ; cell_set_label:VISp_ALM 001-117 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:Neuronal			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_137		VISp_ALM 001-115|n4		cell_set_preferred_alias:'' ; original_label:n4 ; cell_set_label:VISp_ALM 001-115 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_138	Glutamatergic	Glutamatergic|VISp_ALM 001-055|n5		cell_set_preferred_alias:Glutamatergic ; original_label:n5 ; cell_set_label:VISp_ALM 001-055 ; cell_set_aligned_alias:Glutamatergic ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_139		VISp_ALM 001-036|n6		cell_set_preferred_alias:'' ; original_label:n6 ; cell_set_label:VISp_ALM 001-036 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_140		n7|VISp_ALM 001-028		cell_set_preferred_alias:'' ; original_label:n7 ; cell_set_label:VISp_ALM 001-028 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_141		n8|VISp_ALM 001-027		cell_set_preferred_alias:'' ; original_label:n8 ; cell_set_label:VISp_ALM 001-027 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_142	L2/3 IT	VISp_ALM 001-006|n9|L2/3 IT		cell_set_preferred_alias:L2/3 IT ; original_label:n9 ; cell_set_label:VISp_ALM 001-006 ; cell_set_aligned_alias:L2/3 IT ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_143		VISp_ALM 001-003|n10		cell_set_preferred_alias:'' ; original_label:n10 ; cell_set_label:VISp_ALM 001-003 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_1	L2/3 IT VISp Rrad	VISp_ALM 001|L2/3 IT VISp Rrad		cell_set_preferred_alias:L2/3 IT VISp Rrad ; original_label:L2/3 IT VISp Rrad ; cell_set_label:VISp_ALM 001 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_144		n11|VISp_ALM 002-003		cell_set_preferred_alias:'' ; original_label:n11 ; cell_set_label:VISp_ALM 002-003 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_2	L2/3 IT VISp Adamts2	VISp_ALM 002|L2/3 IT VISp Adamts2		cell_set_preferred_alias:L2/3 IT VISp Adamts2 ; original_label:L2/3 IT VISp Adamts2 ; cell_set_label:VISp_ALM 002 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_3	L2/3 IT VISp Agmat	L2/3 IT VISp Agmat|VISp_ALM 003		cell_set_preferred_alias:L2/3 IT VISp Agmat ; original_label:L2/3 IT VISp Agmat ; cell_set_label:VISp_ALM 003 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_145		VISp_ALM 004-006|n12		cell_set_preferred_alias:'' ; original_label:n12 ; cell_set_label:VISp_ALM 004-006 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_146		VISp_ALM 004-005|n13		cell_set_preferred_alias:'' ; original_label:n13 ; cell_set_label:VISp_ALM 004-005 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_4	L2/3 IT ALM Sla	VISp_ALM 004|L2/3 IT ALM Sla		cell_set_preferred_alias:L2/3 IT ALM Sla ; original_label:L2/3 IT ALM Sla ; cell_set_label:VISp_ALM 004 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_5	L2/3 IT ALM Ptrf	VISp_ALM 005|L2/3 IT ALM Ptrf		cell_set_preferred_alias:L2/3 IT ALM Ptrf ; original_label:L2/3 IT ALM Ptrf ; cell_set_label:VISp_ALM 005 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_6	L2/3 IT ALM Macc1 Lrg1	VISp_ALM 006|L2/3 IT ALM Macc1 Lrg1		cell_set_preferred_alias:L2/3 IT ALM Macc1 Lrg1 ; original_label:L2/3 IT ALM Macc1 Lrg1 ; cell_set_label:VISp_ALM 006 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_7	L4 IT VISp Rspo1	VISp_ALM 007|L4 IT VISp Rspo1|L4		cell_set_preferred_alias:L4 IT VISp Rspo1 ; original_label:L4 IT VISp Rspo1 ; cell_set_label:VISp_ALM 007 ; cell_set_aligned_alias:L4 ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_147	L5 IT (VISp)	VISp_ALM 008-012|L5 IT|L5 IT (VISp)|n14		cell_set_preferred_alias:L5 IT (VISp) ; original_label:n14 ; cell_set_label:VISp_ALM 008-012 ; cell_set_aligned_alias:L5 IT ; cell_set_additional_aliases:L5 IT (VISp)			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_148		n15|VISp_ALM 008-010		cell_set_preferred_alias:'' ; original_label:n15 ; cell_set_label:VISp_ALM 008-010 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_149		n16|VISp_ALM 008-009		cell_set_preferred_alias:'' ; original_label:n16 ; cell_set_label:VISp_ALM 008-009 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_8	L5 IT VISp Hsd11b1 Endou	VISp_ALM 008|L5 IT VISp Hsd11b1 Endou		cell_set_preferred_alias:L5 IT VISp Hsd11b1 Endou ; original_label:L5 IT VISp Hsd11b1 Endou ; cell_set_label:VISp_ALM 008 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_9	L5 IT VISp Whrn Tox2	L5 IT VISp Whrn Tox2|VISp_ALM 009		cell_set_preferred_alias:L5 IT VISp Whrn Tox2 ; original_label:L5 IT VISp Whrn Tox2 ; cell_set_label:VISp_ALM 009 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_10	L5 IT VISp Batf3	L5 IT VISp Batf3|VISp_ALM 010		cell_set_preferred_alias:L5 IT VISp Batf3 ; original_label:L5 IT VISp Batf3 ; cell_set_label:VISp_ALM 010 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_150		n17|VISp_ALM 011-012		cell_set_preferred_alias:'' ; original_label:n17 ; cell_set_label:VISp_ALM 011-012 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_11	L5 IT VISp Col6a1 Fezf2	VISp_ALM 011|L5 IT VISp Col6a1 Fezf2		cell_set_preferred_alias:L5 IT VISp Col6a1 Fezf2 ; original_label:L5 IT VISp Col6a1 Fezf2 ; cell_set_label:VISp_ALM 011 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_12	L5 IT VISp Col27a1	L5 IT VISp Col27a1|VISp_ALM 012		cell_set_preferred_alias:L5 IT VISp Col27a1 ; original_label:L5 IT VISp Col27a1 ; cell_set_label:VISp_ALM 012 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_151	L5 IT (ALM)	L5 IT (ALM)|VISp_ALM 013-018|n18|L5 IT		cell_set_preferred_alias:L5 IT (ALM) ; original_label:n18 ; cell_set_label:VISp_ALM 013-018 ; cell_set_aligned_alias:L5 IT ; cell_set_additional_aliases:L5 IT (ALM)			
