Gene stable ID,Transcript stable ID,Gene name,HGNC symbol
ENSCJAG00000059196,ENSCJAT00000101274,Metazoa_SRP,
ENSCJAG00000006350,ENSCJAT00000012383,IL17RA,IL17RA
ENSCJAG00000006350,ENSCJAT00000073740,IL17RA,IL17RA
ENSCJAG00000006350,ENSCJAT00000012351,IL17RA,IL17RA
ENSCJAG00000047740,ENSCJAT00000069870,TMEM121B,TMEM121B
ENSCJAG00000017229,ENSCJAT00000033520,HDHD5,HDHD5
ENSCJAG00000017229,ENSCJAT00000033518,HDHD5,HDHD5
ENSCJAG00000017229,ENSCJAT00000042804,HDHD5,HDHD5
ENSCJAG00000017242,ENSCJAT00000033537,ADA2,ADA2
ENSCJAG00000017242,ENSCJAT00000005534,ADA2,ADA2
ENSCJAG00000068923,ENSCJAT00000109446,Metazoa_SRP,
ENSCJAG00000055458,ENSCJAT00000094712,Metazoa_SRP,
ENSCJAG00000060419,ENSCJAT00000106955,Metazoa_SRP,
ENSCJAG00000017253,ENSCJAT00000033551,CECR2,CECR2
ENSCJAG00000017253,ENSCJAT00000033556,CECR2,CECR2
ENSCJAG00000060365,ENSCJAT00000106029,U7,
ENSCJAG00000048097,ENSCJAT00000086019,Metazoa_SRP,
ENSCJAG00000055094,ENSCJAT00000105037,Metazoa_SRP,
ENSCJAG00000017263,ENSCJAT00000033584,SLC25A18,SLC25A18
ENSCJAG00000017277,ENSCJAT00000033600,,
ENSCJAG00000017277,ENSCJAT00000074082,,
ENSCJAG00000017277,ENSCJAT00000085779,,
ENSCJAG00000043505,ENSCJAT00000082650,,
ENSCJAG00000062251,ENSCJAT00000111951,U6,
ENSCJAG00000017284,ENSCJAT00000033618,BCL2L13,BCL2L13
ENSCJAG00000017284,ENSCJAT00000074226,BCL2L13,BCL2L13
ENSCJAG00000017284,ENSCJAT00000033616,BCL2L13,BCL2L13
ENSCJAG00000017284,ENSCJAT00000085317,BCL2L13,BCL2L13
ENSCJAG00000017284,ENSCJAT00000033624,BCL2L13,BCL2L13
ENSCJAG00000017284,ENSCJAT00000072515,BCL2L13,BCL2L13
ENSCJAG00000017284,ENSCJAT00000077173,BCL2L13,BCL2L13
ENSCJAG00000061657,ENSCJAT00000088939,,
ENSCJAG00000062453,ENSCJAT00000091487,,
ENSCJAG00000017291,ENSCJAT00000033632,,
ENSCJAG00000053267,ENSCJAT00000116287,,
ENSCJAG00000017295,ENSCJAT00000033647,BID,BID
ENSCJAG00000064326,ENSCJAT00000112963,,
ENSCJAG00000017316,ENSCJAT00000033671,MICAL3,MICAL3
ENSCJAG00000017316,ENSCJAT00000033768,MICAL3,MICAL3
ENSCJAG00000017316,ENSCJAT00000033757,MICAL3,MICAL3
