Taxonomy_node_ID	clusterName	Markers
CS1908210001	Inh L1-2 PAX6 CDH12	entrez:7048|entrez:101927870
CS1908210002	Inh L1-2 PAX6 TNFAIP8L3	entrez:221833|entrez:102723487
CS1908210003	Inh L1 LAMP5 NMBR	entrez:79625|entrez:22987
CS1908210004	Inh L1-4 LAMP5 LCP2	entrez:3815|entrez:594855
CS1908210005	Inh L1-2 LAMP5 DBP	entrez:594855|entrez:140689
CS1908210006	Inh L2-6 LAMP5 CA1	entrez:2070|entrez:55026
CS1908210007	Inh L1 SST CHRNA4	entrez:162282|entrez:10512|entrez:9547
CS1908210008	Inh L1-2 ADARB2 MC4R	entrez:158763|entrez:80332
CS1908210009	Inh L1-2 SST BAGE2	entrez:85319|entrez:105377436
CS1908210010	Inh L1-3 VIP SYT6	entrez:1268|entrez:345557
CS1908210011	Inh L1-2 VIP TSPAN12	entrez:1634|entrez:100505474
CS1908210012	Inh L1-4 VIP CHRNA6	entrez:101928923|entrez:285025
CS1908210013	Inh L1-3 VIP ADAMTSL1	entrez:117154|entrez:54510
CS1908210014	Inh L1-4 VIP PENK	entrez:93556|entrez:105371331
CS1908210015	Inh L2-6 VIP QPCT	entrez:5121|entrez:3490
CS1908210016	Inh L3-6 VIP HS3ST3A1	entrez:10788|entrez:25890
CS1908210017	Inh L1-2 VIP PCDH20	entrez:284|entrez:7432
CS1908210018	Inh L2-5 VIP SERPINF1	entrez:6866|entrez:128553|entrez:101929690
CS1908210019	Inh L2-5 VIP TYR	entrez:6866|entrez:1306
CS1908210020	Inh L1-3 VIP CHRM2	entrez:100421401|entrez:101060145
CS1908210021	Inh L2-4 VIP CBLN1	entrez:3358|entrez:4311
CS1908210022	Inh L1-3 VIP CCDC184	entrez:131096|entrez:256380
CS1908210023	Inh L1-3 VIP GGH	entrez:8836|entrez:105375473
CS1908210024	Inh L1-2 VIP LBH	entrez:642597|entrez:105379146
CS1908210025	Inh L2-3 VIP CASC6	entrez:220416|entrez:101929083|entrez:105370456
CS1908210026	Inh L2-4 VIP SPAG17	entrez:23657|entrez:101929052
CS1908210027	Inh L1-4 VIP OPRM1	entrez:5121|entrez:101929690|entrez:6581
CS1908210028	Inh L3-6 SST NPY	entrez:4852
CS1908210029	Inh L3-6 SST HPGD	entrez:3248|entrez:375061|entrez:26002
CS1908210030	Inh L4-6 SST B3GAT2	entrez:10874|entrez:158326|entrez:6866
CS1908210031	Inh L5-6 SST KLHDC8A	entrez:100996671|entrez:105377701
CS1908210032	Inh L5-6 SST NPM1P10	entrez:10418|entrez:2201
CS1908210033	Inh L4-6 SST GXYLT2	entrez:84109|entrez:246213|entrez:101929667
CS1908210034	Inh L4-5 SST STK32A	entrez:6549|entrez:202374
CS1908210035	Inh L1-3 SST CALB1	entrez:101929028
CS1908210036	Inh L3-5 SST ADGRG6	entrez:57211|entrez:8842
CS1908210037	Inh L2-4 SST FRZB	entrez:346007|entrez:60495|entrez:4842|entrez:4645
CS1908210038	Inh L5-6 SST TH	entrez:102724957|entrez:7054
CS1908210039	Inh L5-6 LHX6 GLP1R	entrez:79974|entrez:10512|entrez:590
CS1908210040	Inh L5-6 PVALB LGR5	entrez:340120|entrez:401478|entrez:79974
CS1908210041	Inh L4-5 PVALB MEPE	entrez:6696|entrez:3082|entrez:56955
CS1908210042	Inh L2-4 PVALB WFDC2	entrez:285195|entrez:6863
CS1908210043	Inh L4-6 PVALB SULF1	entrez:23213|entrez:79974
CS1908210044	Inh L5-6 SST MIR548F2	entrez:130574|entrez:5074|entrez:2262
CS1908210045	Inh L2-5 PVALB SCUBE3	entrez:1306|entrez:401478
CS1908210046	Exc L2 LAMP5 LTK	entrez:102723742|entrez:147381
CS1908210047	Exc L2-4 LINC00507 GLP2R	entrez:5179|entrez:10203|entrez:26002
CS1908210048	Exc L2-3 LINC00507 FREM3	entrez:54873|entrez:23316
CS1908210049	Exc L5-6 THEMIS C1QL3	entrez:144920|entrez:7837|entrez:387357
CS1908210050	Exc L3-4 RORB CARM1P1	entrez:80323|entrez:100130873|entrez:8492
CS1908210051	Exc L3-5 RORB ESR1	entrez:301|entrez:105371677
CS1908210052	Exc L3-5 RORB COL22A1	entrez:196475|entrez:4311
CS1908210053	Exc L3-5 RORB FILIP1L	entrez:23316|entrez:22854|entrez:1290|entrez:101928196
CS1908210054	Exc L3-5 RORB TWIST2	entrez:117581|entrez:101927281|entrez:643677
CS1908210055	Exc L4-5 RORB FOLH1B	entrez:101927835|entrez:282996|entrez:4887
CS1908210056	Exc L4-6 RORB SEMA3E	entrez:56475|entrez:101928622
CS1908210057	Exc L4-5 RORB DAPK2	entrez:101928151|entrez:8538|entrez:105374971
CS1908210058	Exc L5-6 RORB TTC12	entrez:7139|entrez:105371833|entrez:10886
CS1908210059	Exc L4-6 RORB C1R	entrez:22801|entrez:9033|entrez:84466
CS1908210060	Exc L4-5 FEZF2 SCN4B	entrez:105376457|entrez:105378657
CS1908210061	Exc L5-6 THEMIS DCSTAMP	entrez:101928196|entrez:105378486
CS1908210062	Exc L5-6 THEMIS CRABP1	entrez:25903|entrez:6641
CS1908210063	Exc L5-6 THEMIS FGF10	entrez:101928964|entrez:283431
CS1908210064	Exc L4-6 FEZF2 IL26	entrez:100885789|entrez:55801
CS1908210065	Exc L5-6 FEZF2 ABO	entrez:23213|entrez:92949
CS1908210066	Exc L6 FEZF2 SCUBE1	entrez:105379054|entrez:5288
CS1908210067	Exc L5-6 FEZF2 IL15	entrez:4929|entrez:255743|entrez:2078
CS1908210068	Exc L6 FEZF2 OR2T8	entrez:729025|entrez:3486|entrez:84189|entrez:26577
CS1908210069	Exc L5-6 FEZF2 EFTUD1P1	entrez:10886|entrez:105377183
CS1908210070	OPC L1-6 PDGFRA	entrez:65217|entrez:5156
CS1908210071	Astro L1-6 FGFR3 SLC14A1	entrez:105376917|entrez:6507
CS1908210072	Astro L1-2 FGFR3 GFAP	entrez:4494|entrez:3399
CS1908210073	Oligo L1-6 OPALIN	entrez:5168|entrez:51148
CS1908210074	Endo L2-6 NOSTRIN	entrez:51705
CS1908210075	Micro L1-6 TYROBP	entrez:1436|entrez:54518
CS1908210148		
