Taxonomy_node_ID	clusterName	Markers
CS201912131_149	GABAergic	
CS201912131_150	Glutamatergic	
CS201912131_151	Non-Neuronal	
CS201912131_142	Astro	
CS201912131_125	Endo L2-5 NOSTRIN SRGN	
CS201912131_171	(Mouse IT projecting)-like(i)	entrez:23316|entrez:407738
CS201912131_138	(Mouse L5 ET)-like	entrez:105376457|entrez:81285
CS201912131_134	(Mouse L5 IT)-like	entrez:105374971|entrez:6096
CS201912131_139	(Mouse L5/6 NP)-like	entrez:404744
CS201912131_136	(Mouse L6 CT)-like	entrez:9037|entrez:93556|entrez:9951
CS201912131_97	Exc L5-6 THEMIS SMYD1	entrez:57194|entrez:6002
CS201912131_135	(Mouse L6 IT)-like	entrez:101928278|entrez:144920|entrez:387357
CS201912131_137	(Mouse L6b)-like	entrez:223117|entrez:29969
CS201912131_128	(Mouse Lamp5)-like	entrez:2070|entrez:23026
CS201912131_132	(Mouse Pvalb)-like	entrez:101929680|entrez:170691
CS201912131_129	(Mouse Sncg)-like	entrez:105|entrez:1268|entrez:9547
CS201912131_40	Inh L1-6 SST NPY	entrez:4852
CS201912131_131	(Mouse Sst)-like	entrez:30010|entrez:55553|entrez:6750
CS201912131_130	(Mouse Vip)-like	entrez:7432
CS201912131_126	VLMC L1-5 PDGFRA COLEC12	
CS201912131_127	Micro L1-6 TYROBP CD74	
CS201912131_140	Oligo	
CS201912131_123	Astro L1 FGFR3 SERPINI2	entrez:151790|entrez:286464
CS201912131_122	Astro L1-6 FGFR3 AQP1	entrez:3371
CS201912131_124	Astro L1-6 FGFR3 PLCG1	entrez:105376917|entrez:50509
CS201912131_73	Exc L2 LAMP5 KCNG3	entrez:101927668|entrez:148753|entrez:154075|entrez:23316|entrez:407738
CS201912131_74	Exc L2 LINC00507 ATP7B	entrez:105377209|entrez:130399|entrez:23316|entrez:407738
CS201912131_75	Exc L2 LINC00507 GLRA3	entrez:101928278|entrez:103689918|entrez:23316|entrez:407738|entrez:5270
CS201912131_77	Exc L2-3 LINC00507 DSG3	entrez:105379003|entrez:23316|entrez:407738|entrez:627|entrez:658
CS201912131_80	Exc L2-3 RORB CCDC68	entrez:1290|entrez:22837|entrez:8492
CS201912131_81	Exc L2-3 RORB PTPN3	entrez:105370610|entrez:105378334|entrez:1290|entrez:6096
CS201912131_76	Exc L2-3 RORB RTKN2	entrez:101927745|entrez:105376987|entrez:196475|entrez:23007|entrez:23316|entrez:407738
CS201912131_78	Exc L3 LAMP5 CARM1P1	entrez:127833|entrez:22987|entrez:23316|entrez:407738|entrez:64097
CS201912131_86	Exc L3 RORB OTOGL	entrez:105374971|entrez:169044|entrez:196475|entrez:6096
CS201912131_82	Exc L3 THEMIS ENPEP	entrez:101928964|entrez:105374971|entrez:105376081|entrez:2191|entrez:3908|entrez:6096
CS201912131_111	Exc L3-5 FEZF2 ASGR2	entrez:105376457|entrez:81285
CS201912131_112	Exc L3-5 FEZF2 LINC01107	entrez:105376457|entrez:153579|entrez:1910|entrez:81285
CS201912131_84	Exc L3-5 RORB LAMA4	entrez:100128497|entrez:101927281|entrez:105374971|entrez:105376081|entrez:131096|entrez:6096|entrez:7222
CS201912131_87	Exc L3-5 RORB LINC01202	entrez:101927874|entrez:105374971|entrez:105376081|entrez:105377703|entrez:6096
CS201912131_90	Exc L3-5 RORB LNX2	entrez:105374971|entrez:105377703|entrez:129293|entrez:6096
CS201912131_91	Exc L3-5 RORB RPRM	entrez:105374971|entrez:105374973|entrez:56475|entrez:6096
CS201912131_83	Exc L3-5 RORB TNNT2	entrez:100507562|entrez:105374971|entrez:105376081|entrez:2492|entrez:6096
CS201912131_110	Exc L5 FEZF2 CSN1S1	entrez:105373592|entrez:105376457|entrez:57687|entrez:81285|entrez:94233
CS201912131_114	Exc L5 FEZF2 NREP-AS1	entrez:105370315|entrez:404744|entrez:81792|entrez:948
CS201912131_113	Exc L5 FEZF2 PKD2L1	entrez:389136|entrez:404744
CS201912131_115	Exc L5 FEZF2 RNF144A-AS1	entrez:105369818|entrez:105370019|entrez:404744|entrez:948
CS201912131_92	Exc L5 RORB MED8	entrez:105374971|entrez:10886|entrez:169044|entrez:401134|entrez:6096
CS201912131_93	Exc L5 THEMIS FGF10	entrez:105374971|entrez:10886|entrez:1392|entrez:6096|entrez:627
CS201912131_99	Exc L5 THEMIS LINC01116	entrez:105369890|entrez:105371663|entrez:9037|entrez:93556|entrez:9951
CS201912131_100	Exc L5 THEMIS RGPD6	entrez:105371663|entrez:387357|entrez:4921|entrez:9037|entrez:93556|entrez:9951
CS201912131_88	Exc L5 THEMIS SLC22A18	entrez:105374971|entrez:147372|entrez:153579|entrez:23657|entrez:401134|entrez:6096
CS201912131_85	Exc L5 THEMIS VILL	entrez:101927389|entrez:105374971|entrez:1602|entrez:3371|entrez:6096
CS201912131_101	Exc L5-6 FEZF2 C9orf135-AS1	entrez:9037|entrez:93556|entrez:93986|entrez:9951
CS201912131_107	Exc L5-6 FEZF2 CFTR	entrez:105374392|entrez:223117|entrez:29969|entrez:4929
CS201912131_102	Exc L5-6 FEZF2 FILIP1L	entrez:100128497|entrez:23213|entrez:55784|entrez:89866|entrez:9037|entrez:93556|entrez:9951
CS201912131_116	Exc L5-6 FEZF2 IFNG-AS1	entrez:105369818|entrez:404744
CS201912131_117	Exc L5-6 FEZF2 LPO	entrez:101928114|entrez:105376372|entrez:404744
CS201912131_98	Exc L5-6 FEZF2 OR1L8	entrez:101927439|entrez:105374392|entrez:105377183|entrez:59352|entrez:9037|entrez:93556|entrez:9951
CS201912131_103	Exc L5-6 FEZF2 SH2D1B	entrez:22829|entrez:4212|entrez:9037|entrez:9060|entrez:92949|entrez:93556|entrez:9951
CS201912131_89	Exc L5-6 THEMIS TNFAIP6	entrez:105373893|entrez:105374971|entrez:105378031|entrez:128553|entrez:4052|entrez:6096
CS201912131_105	Exc L6 FEZF2 FFAR4	entrez:105378486|entrez:157376|entrez:223117|entrez:29969
CS201912131_108	Exc L6 FEZF2 KLK7	entrez:101927439|entrez:223117|entrez:29969
CS201912131_104	Exc L6 FEZF2 PDYN	entrez:223117|entrez:2634|entrez:29969|entrez:5173
CS201912131_109	Exc L6 FEZF2 POGK	entrez:100132891|entrez:100505933|entrez:223117|entrez:26577|entrez:29969
CS201912131_106	Exc L6 FEZF2 PROKR2	entrez:105371310|entrez:223117|entrez:29969|entrez:84189
CS201912131_94	Exc L6 THEMIS LINC00343	entrez:101928278|entrez:144920|entrez:339789|entrez:374860|entrez:387357
CS201912131_95	Exc L6 THEMIS SLN	entrez:101928278|entrez:105371832|entrez:105374524|entrez:144920|entrez:148753|entrez:387357
CS201912131_96	Exc L6 THEMIS SNTG2	entrez:101927389|entrez:101928278|entrez:105371310|entrez:144920|entrez:387357
CS201912131_14	Inh L1 LAMP5 BMP2	entrez:1290|entrez:158326|entrez:2070|entrez:23026
CS201912131_15	Inh L1 LAMP5 NMBR	entrez:2070|entrez:23026|entrez:54510|entrez:5649
CS201912131_1	Inh L1 LAMP5 PVRL2	entrez:140689|entrez:2070|entrez:222537|entrez:23026|entrez:5649|entrez:7222
