Taxonomy_node_ID	clusterName	Markers
CS1908210001	Inh L1-2 PAX6 CDH12	entrez:5080|entrez:1010
CS1908210002	Inh L1-2 PAX6 TNFAIP8L3	entrez:5080|entrez:388121
CS1908210003	Inh L1 LAMP5 NMBR	entrez:24141|entrez:4829
CS1908210004	Inh L1-4 LAMP5 LCP2	entrez:24141|entrez:3937
CS1908210005	Inh L1-2 LAMP5 DBP	entrez:24141|entrez:1628
CS1908210006	Inh L2-6 LAMP5 CA1	entrez:24141|entrez:759
CS1908210007	Inh L1 SST CHRNA4	entrez:6750|entrez:1137
CS1908210008	Inh L1-2 ADARB2 MC4R	entrez:105|entrez:4160
CS1908210009	Inh L1-2 SST BAGE2	entrez:6750|entrez:85319
CS1908210010	Inh L1-3 VIP SYT6	entrez:7432|entrez:148281
CS1908210011	Inh L1-2 VIP TSPAN12	entrez:7432|entrez:23554
CS1908210012	Inh L1-4 VIP CHRNA6	entrez:7432|entrez:8973
CS1908210013	Inh L1-3 VIP ADAMTSL1	entrez:7432|entrez:92949
CS1908210014	Inh L1-4 VIP PENK	entrez:7432|entrez:5179
CS1908210015	Inh L2-6 VIP QPCT	entrez:7432|entrez:25797
CS1908210016	Inh L3-6 VIP HS3ST3A1	entrez:7432|entrez:9955
CS1908210017	Inh L1-2 VIP PCDH20	entrez:7432|entrez:64881
CS1908210018	Inh L2-5 VIP SERPINF1	entrez:7432|entrez:5176
CS1908210019	Inh L2-5 VIP TYR	entrez:7432|entrez:7299
CS1908210020	Inh L1-3 VIP CHRM2	entrez:7432|entrez:1129
CS1908210021	Inh L2-4 VIP CBLN1	entrez:7432|entrez:869
CS1908210022	Inh L1-3 VIP CCDC184	entrez:7432|entrez:387856
CS1908210023	Inh L1-3 VIP GGH	entrez:7432|entrez:8836
CS1908210024	Inh L1-2 VIP LBH	entrez:7432|entrez:81606
CS1908210025	Inh L2-3 VIP CASC6	entrez:7432|entrez:101929083
CS1908210026	Inh L2-4 VIP SPAG17	entrez:7432|entrez:200162
CS1908210027	Inh L1-4 VIP OPRM1	entrez:7432|entrez:4988
CS1908210028	Inh L3-6 SST NPY	entrez:6750|entrez:4852
CS1908210029	Inh L3-6 SST HPGD	entrez:6750|entrez:3248
CS1908210030	Inh L4-6 SST B3GAT2	entrez:6750|entrez:135152
CS1908210031	Inh L5-6 SST KLHDC8A	entrez:6750|entrez:55220
CS1908210032	Inh L5-6 SST NPM1P10	entrez:6750|entrez:10837
CS1908210033	Inh L4-6 SST GXYLT2	entrez:6750|entrez:727936
CS1908210034	Inh L4-5 SST STK32A	entrez:6750|entrez:202374
CS1908210035	Inh L1-3 SST CALB1	entrez:6750|entrez:793
CS1908210036	Inh L3-5 SST ADGRG6	entrez:6750|entrez:57211
CS1908210037	Inh L2-4 SST FRZB	entrez:6750|entrez:2487
CS1908210038	Inh L5-6 SST TH	entrez:6750|entrez:7054
CS1908210039	Inh L5-6 LHX6 GLP1R	entrez:26468|entrez:2740
CS1908210040	Inh L5-6 PVALB LGR5	entrez:5816|entrez:8549
CS1908210041	Inh L4-5 PVALB MEPE	entrez:5816|entrez:56955
CS1908210042	Inh L2-4 PVALB WFDC2	entrez:5816|entrez:10406
