cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions
L2/3 IT (1),L2/3 IT (1),SCF 01,CS202002011_1,,SCF-ENS2-C4_1_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L2/3 IT (2),L2/3 IT (2),SCF 02,CS202002011_2,,SCF-ENS2-C4_1_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L2/3 IT (3),L2/3 IT (3),SCF 03,CS202002011_3,,SCF-ENS2-C4_2_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L2/3 IT (4),L2/3 IT (4),SCF 04,CS202002011_4,,SCF-ENS2-C4_2_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L2/3 IT (5),L2/3 IT (5),SCF 05,CS202002011_5,,SCF-ENS2-C4_2_3,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L4/5 IT (1),L4/5 IT (1),SCF 06,CS202002011_6,,SCF-ENS2-C1_1_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L4/5 IT (2),L4/5 IT (2),SCF 07,CS202002011_7,,SCF-ENS2-C1_2_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L4/5 IT (3),L4/5 IT (3),SCF 08,CS202002011_8,,SCF-ENS2-C1_2_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L5 IT (1),L5 IT (1),SCF 09,CS202002011_9,,SCF-ENS2-C3_1_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L5 IT (2),L5 IT (2),SCF 10,CS202002011_10,,SCF-ENS2-C3_2_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L5 IT (3),L5 IT (3),SCF 11,CS202002011_11,,SCF-ENS2-C3_2_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 IT,L6 IT,SCF 12,CS202002011_12,L6 IT,SCF-ENS2-C3_1_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 IT Car3,L6 IT Car3,SCF 13,CS202002011_13,L6 IT Car3,SCF-ENS2-C3_3_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L5 ET (1),L5 ET (1),SCF 14,CS202002011_14,,SCF-ENS2-C9_1_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L5 ET (2),L5 ET (2),SCF 15,CS202002011_15,,SCF-ENS2-C9_2_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L5 ET (3),L5 ET (3),SCF 16,CS202002011_16,,SCF-ENS2-C9_2_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 CT Cpa6 (1),L6 CT Cpa6 (1),SCF 17,CS202002011_17,,SCF-ENS2-C2_1_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 CT Cpa6 (2),L6 CT Cpa6 (2),SCF 18,CS202002011_18,,SCF-ENS2-C2_1_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 CT Cpa6 (3),L6 CT Cpa6 (3),SCF 19,CS202002011_19,,SCF-ENS2-C2_2_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 CT Cpa6 (4),L6 CT Cpa6 (4),SCF 20,CS202002011_20,,SCF-ENS2-C2_2_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 CT Gpr139,L6 CT Gpr139,SCF 21,CS202002011_21,,SCF-ENS2-C2_2_3,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 CT Cpa6 (5),L6 CT Cpa6 (5),SCF 22,CS202002011_22,,SCF-ENS2-C2_2_4,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 CT Nxph2 Pou3f2 (1),L6 CT Nxph2 Pou3f2 (1),SCF 23,CS202002011_23,,SCF-ENS2-C2_3_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 CT Nxph2 Pou3f2 (2),L6 CT Nxph2 Pou3f2 (2),SCF 24,CS202002011_24,,SCF-ENS2-C2_3_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 CT Nxph2 Kit,L6 CT Nxph2 Kit,SCF 25,CS202002011_25,,SCF-ENS2-C2_3_3,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L5 NP Trh,L5 NP Trh,SCF 26,CS202002011_26,,SCF-ENS2-C7_1_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
