cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions,cell_type_card
Inh L1-6 LAMP5 KIRREL,Inh L1-6 LAMP5 KIRREL,ATACseq 01,CS202002273_1,,RNAseq 001-006 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L1 GAD1 SP8,Inh L1 GAD1 SP8,ATACseq 02,CS202002273_2,,RNAseq 007-013 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L1 LAMP5 NDNF,Inh L1 LAMP5 NDNF,ATACseq 03,CS202002273_3,,RNAseq 014-015 in CCN201912131|Lamp5_5,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L1 GAD1 NDST4,Inh L1 GAD1 NDST4,ATACseq 04,CS202002273_4,,RNAseq 016-018 in CCN201912131|Sncg_4,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L1-5 VIP KCNJ2,Inh L1-5 VIP KCNJ2,ATACseq 05,CS202002273_5,,"RNAseq 019-020, 039 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L1-6 VIP IQGAP2,Inh L1-6 VIP IQGAP2,ATACseq 06,CS202002273_6,,"RNAseq 021, 027-038 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L1-3 VIP NPR3,Inh L1-3 VIP NPR3,ATACseq 07,CS202002273_7,,RNAseq 022-026 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L1-6 SST NPY,Inh L1-6 SST NPY,ATACseq 08,CS202002273_8,Sst Chodl,RNAseq 040 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L3-5 SST EDNRA,Inh L3-5 SST EDNRA,ATACseq 09,CS202002273_9,,"RNAseq 041-042, 044-046, 049 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L5-6 SST LOC101929667,Inh L5-6 SST LOC101929667,ATACseq 10,CS202002273_10,,"RNAseq 043, 048, 055-057 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
