cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions,cell_type_card
Inh LAMP5 COL5A2,Inh LAMP5 COL5A2,DNAm 01,CS202002274_1,,RNAseq 02-03 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Inh LAMP5 CTTNBP2,Inh LAMP5 CTTNBP2,DNAm 02,CS202002274_2,Lamp5 Lhx6,RNAseq 04 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Inh LAMP5 PBX3,Inh LAMP5 PBX3,DNAm 03,CS202002274_3,,RNAseq 05-06 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Inh GAD1 ZC4H2,Inh GAD1 ZC4H2,DNAm 04,CS202002274_4,,"RNAseq 07-12, 26 in CCN201912132",Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Inh GAD1 THSD7B,Inh GAD1 THSD7B,DNAm 05,CS202002274_5,,RNAseq 13-14 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Inh VIP ARHGAP18,Inh VIP ARHGAP18,DNAm 06,CS202002274_6,,"RNAseq 15, 24-25 in CCN201912132",Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Inh VIP LOC100397259,Inh VIP LOC100397259,DNAm 07,CS202002274_7,,RNAseq 16-17 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Inh VIP FIGN,Inh VIP FIGN,DNAm 08,CS202002274_8,,RNAseq 18-20 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Inh VIP DACH2,Inh VIP DACH2,DNAm 09,CS202002274_9,,RNAseq 21-23 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Inh SST ABI3BP,Inh SST ABI3BP,DNAm 10,CS202002274_10,,"RNAseq 01, 30-36, 47 in CCN201912132",Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Inh SST COL11A1,Inh SST COL11A1,DNAm 11,CS202002274_11,,"RNAseq 27-29, 37, 40 in CCN201912132",Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Inh SST AKAP2,Inh SST AKAP2,DNAm 12,CS202002274_12,,RNAseq 38-39 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Inh PVALB CDON,Inh PVALB CDON,DNAm 13,CS202002274_13,,"RNAseq 41, 45-46, 51 in CCN201912132",Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Inh PVALB IGF2BP2,Inh PVALB IGF2BP2,DNAm 14,CS202002274_14,,RNAseq 42-44 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Inh PVALB EYS,Inh PVALB EYS,DNAm 15,CS202002274_15,,RNAseq 48-50 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Inh PVALB FAM19A4,Inh PVALB FAM19A4,DNAm 16,CS202002274_16,Chandelier,RNAseq 52 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Exc THEMIS ACTN2,Exc THEMIS ACTN2,DNAm 17,CS202002274_17,,RNAseq 53 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
