cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions,cell_type_card
Lamp5_1,Lamp5_1,Integrated 01,CS202002270_1,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Lamp5_5,Lamp5_5,Integrated 02,CS202002270_2,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Lamp5_2,Lamp5_2,Integrated 03,CS202002270_3,,Lamp5 Rosehip,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Lamp5_3,Lamp5_3,Integrated 04,CS202002270_4,Lamp5 Lhx6,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Sncg_1,Sncg_1,Integrated 05,CS202002270_5,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Sncg_2,Sncg_2,Integrated 06,CS202002270_6,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Lamp5_4,Lamp5_4,Integrated 07,CS202002270_7,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Sncg_3,Sncg_3,Integrated 08,CS202002270_8,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Sncg_4,Sncg_4,Integrated 09,CS202002270_9,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Vip_1,Vip_1,Integrated 10,CS202002270_10,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Vip_2,Vip_2,Integrated 11,CS202002270_11,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Vip_3,Vip_3,Integrated 12,CS202002270_12,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Vip_4,Vip_4,Integrated 13,CS202002270_13,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Sst Chodl,Sst Chodl,Integrated 14,CS202002270_14,,Long-range projecting Sst,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Sst_1,Sst_1,Integrated 15,CS202002270_15,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Sst_2,Sst_2,Integrated 16,CS202002270_16,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Sst_4,Sst_4,Integrated 17,CS202002270_17,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Sst_3,Sst_3,Integrated 18,CS202002270_18,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Sst_5,Sst_5,Integrated 19,CS202002270_19,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
