cell_set_preferred_alias,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_aliases,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,species,modality,taxonomy_id,taxonomy_description,child_cell_set_accessions,cell_type_card,original_label,cell_set_color
Inh SST NPY,RNAseq 01,CS201912132_1,Sst Chodl,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,"Cell Type,Subclass",Inh SST NPY,#FFEA00
Inh LAMP5 COL5A2,RNAseq 02,CS201912132_2,Lamp5_5,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh LAMP5 COL5A2,#BF5474
Inh LAMP5 TOX2,RNAseq 03,CS201912132_3,Lamp5_1,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh LAMP5 TOX2,#A75052
Inh LAMP5 TRPC6,RNAseq 04,CS201912132_4,Lamp5 Lhx6,Lamp5_3,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh LAMP5 TRPC6,#FFA0A8
Inh LAMP5 WWP1,RNAseq 05,CS201912132_5,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh LAMP5 WWP1,#AA6D6C
Inh LAMP5 LOC108591196,RNAseq 06,CS201912132_6,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh LAMP5 LOC108591196,#E2A9AF
Inh PAX6 HMBOX1,RNAseq 07,CS201912132_7,Lamp5_4,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh PAX6 HMBOX1,#F1757C
Inh SNCG PLPPR1,RNAseq 08,CS201912132_8,Sncg_2,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SNCG PLPPR1,#8D4CDA
Inh PAX6 ANKRD6,RNAseq 09,CS201912132_9,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh PAX6 ANKRD6,#C200C9
Inh VIP CYP19A1,RNAseq 10,CS201912132_10,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh VIP CYP19A1,#A11397
Inh SNCG CNTN4,RNAseq 11,CS201912132_11,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SNCG CNTN4,#E557D7
Inh PAX6 CDH4,RNAseq 12,CS201912132_12,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh PAX6 CDH4,#9046BA
Inh GAD1 PCP4,RNAseq 13,CS201912132_13,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh GAD1 PCP4,#B67AF7
Inh GAD1 LOC108589948,RNAseq 14,CS201912132_14,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh GAD1 LOC108589948,#881FA8
Inh VIP THSD7B,RNAseq 15,CS201912132_15,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh VIP THSD7B,#E591FF
Inh VIP LOC100397259,RNAseq 16,CS201912132_16,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh VIP LOC100397259,#9047CC
Inh GAD1 NPSR1,RNAseq 17,CS201912132_17,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh GAD1 NPSR1,#D597FF
Inh SNCG LOC108587895,RNAseq 18,CS201912132_18,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SNCG LOC108587895,#A20798
Inh VIP LOC108589153,RNAseq 19,CS201912132_19,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh VIP LOC108589153,#7A3990
Inh VIP FIGN,RNAseq 20,CS201912132_20,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh VIP FIGN,#8E27AD
Inh VIP GPR149,RNAseq 21,CS201912132_21,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh VIP GPR149,#EE8BE1
Inh VIP LOC108588071,RNAseq 22,CS201912132_22,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh VIP LOC108588071,#C46AB9
