cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions,cell_type_card
L2/3 IT (it_0),L2/3 IT (it_0),LIGER 01,CS202002012_1,,,Josh Welch,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,,No
L2/3 IT (it_10),L2/3 IT (it_10),LIGER 02,CS202002012_2,,,Josh Welch,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,,No
L2/3 IT (it_5),L2/3 IT (it_5),LIGER 03,CS202002012_3,,RNAseq 060 in CCN202002013,Josh Welch,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,,No
L2/3 IT (it_7),L2/3 IT (it_7),LIGER 04,CS202002012_4,,,Josh Welch,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,,No
L2/3 IT (it_9),L2/3 IT (it_9),LIGER 05,CS202002012_5,,,Josh Welch,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,,No
L4/5 IT (it_1),L4/5 IT (it_1),LIGER 06,CS202002012_6,,,Josh Welch,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,,No
L4/5 IT (it_2),L4/5 IT (it_2),LIGER 07,CS202002012_7,,RNAseq 062 in CCN202002013,Josh Welch,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,,No
L4/5 IT (it_8),L4/5 IT (it_8),LIGER 08,CS202002012_8,,,Josh Welch,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,,No
L5 IT (it_3),L5 IT (it_3),LIGER 09,CS202002012_9,,RNAseq 064 in CCN202002013,Josh Welch,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,,No
L5 IT (it_6),L5 IT (it_6),LIGER 10,CS202002012_10,,RNAseq 063 in CCN202002013,Josh Welch,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,,No
L6 IT (it_4),L6 IT (it_4),LIGER 11,CS202002012_11,L6 IT,RNAseq 067-069 in CCN202002013,Josh Welch,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,,No
L5 ET (non_it_11),L5 ET (non_it_11),LIGER 12,CS202002012_12,,,Josh Welch,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,,No
L5 ET (non_it_12),L5 ET (non_it_12),LIGER 13,CS202002012_13,,RNAseq 070 in CCN202002013|L5 ET (MY-projecting),Josh Welch,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,,No
L5 ET (non_it_4),L5 ET (non_it_4),LIGER 14,CS202002012_14,,,Josh Welch,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,,No
