cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions
Exc L5 FEZF2 LOC106993015,Exc L5 FEZF2 LOC106993015,RNAseq 001,CS202002271_1,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
Exc L5 FEZF2 LOC114676463,Exc L5 FEZF2 LOC114676463,RNAseq 002,CS202002271_2,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
Exc L5 RORB LOC106992498,Exc L5 RORB LOC106992498,RNAseq 003,CS202002271_3,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
Exc L5 RORB COL13A1,Exc L5 RORB COL13A1,RNAseq 004,CS202002271_4,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
Exc L5 RORB LOC106992627,Exc L5 RORB LOC106992627,RNAseq 005,CS202002271_5,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
Exc L5 THEMIS THEMIS,Exc L5 THEMIS THEMIS,RNAseq 006,CS202002271_6,L6 IT,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
Exc L5 SLC17A7 NTNG2,Exc L5 SLC17A7 NTNG2,RNAseq 007,CS202002271_7,L6 IT Car3,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
Exc L5 SLC17A7 CCDC60,Exc L5 SLC17A7 CCDC60,RNAseq 008,CS202002271_8,L6 CT,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
Exc L5 SLC17A7 LOC114676287,Exc L5 SLC17A7 LOC114676287,RNAseq 009,CS202002271_9,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
Exc L5 SLC17A7 OTOGL,Exc L5 SLC17A7 OTOGL,RNAseq 010,CS202002271_10,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
Exc L5 SLC17A7 LOC114680213,Exc L5 SLC17A7 LOC114680213,RNAseq 011,CS202002271_11,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
Exc L5 SLC17A7 CORIN,Exc L5 SLC17A7 CORIN,RNAseq 012,CS202002271_12,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
Exc L5 SLC17A7 TLL1,Exc L5 SLC17A7 TLL1,RNAseq 013,CS202002271_13,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
L5 ET,L5 ET,RNAseq 001-002,CS202002271_14,L5 ET,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
L5 IT,L5 IT,RNAseq 003-005,CS202002271_15,L5 IT,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
L6b,L6b,RNAseq 009-010,CS202002271_16,L6b,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
L5/6 NP,L5/6 NP,RNAseq 011-013,CS202002271_17,L5/6 NP,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
Non-IT projecting,Non-IT projecting,"RNAseq 001-002, 008-013",CS202002271_18,Non-IT projecting,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
IT projecting,IT projecting,RNAseq 003-007,CS202002271_19,IT projecting,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
Glutamatergic,Glutamatergic,RNAseq 001-013,CS202002271_20,Neuronal: Glutamatergic,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002271,Macaque,RNAseq,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
