cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions,cell_type_card
Inh L1 LAMP5 LOC101927870,Inh L1 LAMP5 LOC101927870,DNAm 01,CS202002272_1,,"RNAseq 001, 114-115 in CCN201912131",Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Inh L1-6 LAMP5 CPLX3,Inh L1-6 LAMP5 CPLX3,DNAm 02,CS202002272_2,,RNAseq 002-004 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Inh L1-6 LAMP5 SFRP1,Inh L1-6 LAMP5 SFRP1,DNAm 03,CS202002272_3,,RNAseq 005-006 in CCN201912131|Lamp5_3,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Inh L1 GAD1 SP8,Inh L1 GAD1 SP8,DNAm 04,CS202002272_4,,RNAseq 007-013 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Inh L1 GAD1 NDST4,Inh L1 GAD1 NDST4,DNAm 05,CS202002272_5,,RNAseq 016-018 in CCN201912131|Sncg_4,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Inh L1-3 VIP CCDC184,Inh L1-3 VIP CCDC184,DNAm 06,CS202002272_6,,RNAseq 019-021 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Inh L1-3 VIP NPR3,Inh L1-3 VIP NPR3,DNAm 07,CS202002272_7,,RNAseq 022-026 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Inh L1-5 VIP NOX4,Inh L1-5 VIP NOX4,DNAm 08,CS202002272_8,,RNAseq 027-028 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Inh L1-6 VIP ABI3BP,Inh L1-6 VIP ABI3BP,DNAm 09,CS202002272_9,,RNAseq 029-033 in CCN201912131|Vip_3,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Inh L2-6 VIP PENK,Inh L2-6 VIP PENK,DNAm 10,CS202002272_10,,RNAseq 034-035 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Inh L3-5 VIP LOC101929231,Inh L3-5 VIP LOC101929231,DNAm 11,CS202002272_11,,RNAseq 036-039 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Inh L1-5 SST AHR,Inh L1-5 SST AHR,DNAm 12,CS202002272_12,,"RNAseq 040, 046-047, 050-052, 068 in CCN201912131",Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Inh L5-6 SST DCN,Inh L5-6 SST DCN,DNAm 13,CS202002272_13,,RNAseq 041-045 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Inh L5-6 SST KIAA1644,Inh L5-6 SST KIAA1644,DNAm 14,CS202002272_14,,"RNAseq 048-049, 053-058 in CCN201912131",Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
