cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions
Lamp5 Chrna7,Lamp5 Chrna7,DNAm 01,CS202002276_1,,RNAseq 001-003 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Lamp5 Ndnf,Lamp5 Ndnf,DNAm 02,CS202002276_2,,RNAseq 004-006 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Lamp5 Ndnf,Lamp5 Ndnf,DNAm 03,CS202002276_3,,RNAseq 005 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Lamp5 Asph,Lamp5 Asph,DNAm 04,CS202002276_4,,RNAseq 007-008 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Sncg Frem1,Sncg Frem1,DNAm 05,CS202002276_5,Sncg,RNAseq 009-014 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Vip Wnt5b,Vip Wnt5b,DNAm 06,CS202002276_6,,"RNAseq 015, 021-025 in CCN202002013",Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Vip Tac2,Vip Tac2,DNAm 07,CS202002276_7,,RNAseq 016-018 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Vip Crh,Vip Crh,DNAm 08,CS202002276_8,,"RNAseq 019-020, 026-027 in CCN202002013",Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Sst Chodl,Sst Chodl,DNAm 09,CS202002276_9,Sst Chodl,RNAseq 028 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Sst Scg5,Sst Scg5,DNAm 10,CS202002276_10,,"RNAseq 029-032, 041 in CCN202002013",Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Sst Htr1a,Sst Htr1a,DNAm 11,CS202002276_11,,RNAseq 033 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Sst Kirrel3,Sst Kirrel3,DNAm 12,CS202002276_12,,RNAseq 034-035 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Sst Rbp4,Sst Rbp4,DNAm 13,CS202002276_13,,"RNAseq 036-037, 046-047 in CCN202002013",Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Sst Pcdh11x,Sst Pcdh11x,DNAm 14,CS202002276_14,,RNAseq 038-040 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Sst 9630002D21Rik,Sst 9630002D21Rik,DNAm 15,CS202002276_15,,RNAseq 042-045 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Pvalb Tac1,Pvalb Tac1,DNAm 16,CS202002276_16,,RNAseq 048-053 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Pvalb Gpr149,Pvalb Gpr149,DNAm 17,CS202002276_17,,RNAseq 050 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Pvalb Plxnc1,Pvalb Plxnc1,DNAm 18,CS202002276_18,,RNAseq 054-055 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Pvalb Vipr2,Pvalb Vipr2,DNAm 19,CS202002276_19,Chandelier,RNAseq 056-057 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L2/3 IT Greb1l,L2/3 IT Greb1l,DNAm 20,CS202002276_20,L2/3 IT,RNAseq 058-060 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L5 IT Rspo1_1,L5 IT Rspo1_1,DNAm 21,CS202002276_21,,RNAseq 061 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L5 IT Rspo1_2,L5 IT Rspo1_2,DNAm 22,CS202002276_22,,RNAseq 062 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L5 IT S100b,L5 IT S100b,DNAm 23,CS202002276_23,,RNAseq 063-064 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L5/6 IT Arhgap15,L5/6 IT Arhgap15,DNAm 24,CS202002276_24,,"RNAseq 065, 067 in CCN202002013",Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L5 IT Pld5_2,L5 IT Pld5_2,DNAm 25,CS202002276_25,,RNAseq 066 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L6 IT_2,L6 IT_2,DNAm 26,CS202002276_26,,RNAseq 068 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L6 IT Car3,L6 IT Car3,DNAm 27,CS202002276_27,L6 IT Car3,RNAseq 069 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L5 ET,L5 ET,DNAm 28,CS202002276_28,L5 ET,RNAseq 070-073 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L5/6 NP CT Cdh18,L5/6 NP CT Cdh18,DNAm 29,CS202002276_29,,"RNAseq 074, 079-080 in CCN202002013",Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L6 CT Gpr139,L6 CT Gpr139,DNAm 30,CS202002276_30,,RNAseq 075 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L6 CT Cpa6,L6 CT Cpa6,DNAm 31,CS202002276_31,,RNAseq 076 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L6 CT Grp,L6 CT Grp,DNAm 32,CS202002276_32,,RNAseq 077 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L6 CT Pou3f2,L6 CT Pou3f2,DNAm 33,CS202002276_33,,RNAseq 078 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L6b Ctgf,L6b Ctgf,DNAm 34,CS202002276_34,L6b,RNAseq 081-085 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L5/6 NP Lypd1,L5/6 NP Lypd1,DNAm 35,CS202002276_35,L5/6 NP,RNAseq 086-088 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
OPC Pdgfra,OPC Pdgfra,DNAm 36,CS202002276_36,OPC,RNAseq 091 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Astro Rorb Prex2,Astro Rorb Prex2,DNAm 37,CS202002276_37,Astrocyte,RNAseq 92-94 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Oligo Plp1,Oligo Plp1,DNAm 38,CS202002276_38,Oligodendrocyte,"RNAseq 095, 097-102 in CCN202002013",Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
