cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions
Lamp5_6,Lamp5_6,MERFISH 01,CS202103210_1,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Lamp5_5,Lamp5_5,MERFISH 02,CS202103210_2,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Lamp5_3,Lamp5_3,MERFISH 03,CS202103210_3,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Lamp5_2,Lamp5_2,MERFISH 04,CS202103210_4,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Lamp5_4,Lamp5_4,MERFISH 05,CS202103210_5,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Lamp5_1,Lamp5_1,MERFISH 06,CS202103210_6,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Lamp5_7,Lamp5_7,MERFISH 07,CS202103210_7,Lamp5 Lhx6,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Lamp5_8,Lamp5_8,MERFISH 08,CS202103210_8,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Vip_11,Vip_11,MERFISH 09,CS202103210_9,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Sncg_1,Sncg_1,MERFISH 10,CS202103210_10,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Sncg_2,Sncg_2,MERFISH 11,CS202103210_11,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Vip_9,Vip_9,MERFISH 12,CS202103210_12,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Vip_10,Vip_10,MERFISH 13,CS202103210_13,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Vip_4,Vip_4,MERFISH 14,CS202103210_14,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Vip_7,Vip_7,MERFISH 15,CS202103210_15,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Vip_8,Vip_8,MERFISH 16,CS202103210_16,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Vip_2,Vip_2,MERFISH 17,CS202103210_17,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Vip_1,Vip_1,MERFISH 18,CS202103210_18,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Vip_5,Vip_5,MERFISH 19,CS202103210_19,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Vip_6,Vip_6,MERFISH 20,CS202103210_20,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Vip_3,Vip_3,MERFISH 21,CS202103210_21,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Sst_Chodl,Sst_Chodl,MERFISH 22,CS202103210_22,Sst Chodl,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Sst_2,Sst_2,MERFISH 23,CS202103210_23,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Sst_7,Sst_7,MERFISH 24,CS202103210_24,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Sst_8,Sst_8,MERFISH 25,CS202103210_25,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Sst_6,Sst_6,MERFISH 26,CS202103210_26,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Sst_1,Sst_1,MERFISH 27,CS202103210_27,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Sst_3,Sst_3,MERFISH 28,CS202103210_28,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Sst_4,Sst_4,MERFISH 29,CS202103210_29,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Sst_5,Sst_5,MERFISH 30,CS202103210_30,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Pvalb_9,Pvalb_9,MERFISH 31,CS202103210_31,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Pvalb_6,Pvalb_6,MERFISH 32,CS202103210_32,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Pvalb_10,Pvalb_10,MERFISH 33,CS202103210_33,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Pvalb_8,Pvalb_8,MERFISH 34,CS202103210_34,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Pvalb_3,Pvalb_3,MERFISH 35,CS202103210_35,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Pvalb_5,Pvalb_5,MERFISH 36,CS202103210_36,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Pvalb_7,Pvalb_7,MERFISH 37,CS202103210_37,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Pvalb_2,Pvalb_2,MERFISH 38,CS202103210_38,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Pvalb_4,Pvalb_4,MERFISH 39,CS202103210_39,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Pvalb_1,Pvalb_1,MERFISH 40,CS202103210_40,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Pvalb_12,Pvalb_12,MERFISH 41,CS202103210_41,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
Pvalb_11,Pvalb_11,MERFISH 42,CS202103210_42,,,Meng Zhang,10.1101/2020.06.04.105700,primary motor cortex,UBERON:0001384,CCN202103210,Mouse,MERFISH,
