cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions,cell_type_card
L2/3 IT,L2/3 IT,EpiRetroSeq 01,CS202103220_01,L2/3 IT,,Zhuzhu Zhang,PMID:34616065,primary motor cortex,UBERON:0001384,CCN202103220,Mouse,Epi-Retro-Seq,,No
L4,L4,EpiRetroSeq 02,CS202103220_02,L4/5 IT,,Zhuzhu Zhang,PMID:34616065,primary motor cortex,UBERON:0001384,CCN202103220,Mouse,Epi-Retro-Seq,,No
L5 IT,L5 IT,EpiRetroSeq 03,CS202103220_03,L5 IT,,Zhuzhu Zhang,PMID:34616065,primary motor cortex,UBERON:0001384,CCN202103220,Mouse,Epi-Retro-Seq,,No
L6 IT,L6 IT,EpiRetroSeq 04,CS202103220_04,L6 IT,,Zhuzhu Zhang,PMID:34616065,primary motor cortex,UBERON:0001384,CCN202103220,Mouse,Epi-Retro-Seq,,No
L5 ET,L5 ET,EpiRetroSeq 05,CS202103220_05,L5 ET,,Zhuzhu Zhang,PMID:34616065,primary motor cortex,UBERON:0001384,CCN202103220,Mouse,Epi-Retro-Seq,,No
L6 CT,L6 CT,EpiRetroSeq 06,CS202103220_06,L6 CT,,Zhuzhu Zhang,PMID:34616065,primary motor cortex,UBERON:0001384,CCN202103220,Mouse,Epi-Retro-Seq,,No
L6b,L6b,EpiRetroSeq 07,CS202103220_07,L6b,,Zhuzhu Zhang,PMID:34616065,primary motor cortex,UBERON:0001384,CCN202103220,Mouse,Epi-Retro-Seq,,No
NP,NP,EpiRetroSeq 08,CS202103220_08,L5/6 NP,,Zhuzhu Zhang,PMID:34616065,primary motor cortex,UBERON:0001384,CCN202103220,Mouse,Epi-Retro-Seq,,No
CLA,CLA,EpiRetroSeq 09,CS202103220_09,,Claustrum,Zhuzhu Zhang,PMID:34616065,primary motor cortex,UBERON:0001384,CCN202103220,Mouse,Epi-Retro-Seq,,No
Inhibitory,Inhibitory,EpiRetroSeq 10,CS202103220_10,Neuronal: GABAergic,,Zhuzhu Zhang,PMID:34616065,primary motor cortex,UBERON:0001384,CCN202103220,Mouse,Epi-Retro-Seq,,No
Others,Others,EpiRetroSeq 11,CS202103220_11,,,Zhuzhu Zhang,PMID:34616065,primary motor cortex,UBERON:0001384,CCN202103220,Mouse,Epi-Retro-Seq,,No
L5 ET (Cluster 0),L5 ET (Cluster 0),EpiRetroSeq 12,CS202103220_12,,RNAseq 070 in CCN202002013|L5 ET (MY-projecting),Zhuzhu Zhang,PMID:34616065,primary motor cortex,UBERON:0001384,CCN202103220,Mouse,Epi-Retro-Seq,,No
L5 ET (Cluster 2),L5 ET (Cluster 2),EpiRetroSeq 13,CS202103220_13,,RNAseq 070 in CCN202002013,Zhuzhu Zhang,PMID:34616065,primary motor cortex,UBERON:0001384,CCN202103220,Mouse,Epi-Retro-Seq,,No
