cell_set_accession,cell_set_label,cell_set_alias,cell_set_alt_alias,taxonomy_id,original_label
CS1908210001,Neuron 001,Inh L1-2 PAX6 CDH12,,CS1908210,Inh L1-2 PAX6 CDH12
CS1908210002,Neuron 002,Inh L1-2 PAX6 TNFAIP8L3,,CS1908210,Inh L1-2 PAX6 TNFAIP8L3
CS1908210003,Neuron 003,Inh L1 LAMP5 NMBR,,CS1908210,Inh L1 LAMP5 NMBR
CS1908210004,Neuron 004,Inh L1-4 LAMP5 LCP2,Lamp5 Rosehip,CS1908210,Inh L1-4 LAMP5 LCP2
CS1908210005,Neuron 005,Inh L1-2 LAMP5 DBP,,CS1908210,Inh L1-2 LAMP5 DBP
CS1908210006,Neuron 006,Inh L2-6 LAMP5 CA1,Lamp5 Lhx6,CS1908210,Inh L2-6 LAMP5 CA1
CS1908210007,Neuron 007,Inh L1 SST CHRNA4,,CS1908210,Inh L1 SST CHRNA4
CS1908210008,Neuron 008,Inh L1-2 ADARB2 MC4R,,CS1908210,Inh L1-2 ADARB2 MC4R
CS1908210009,Neuron 009,Inh L1-2 SST BAGE2,,CS1908210,Inh L1-2 SST BAGE2
CS1908210010,Neuron 010,Inh L1-3 VIP SYT6,,CS1908210,Inh L1-3 VIP SYT6
CS1908210011,Neuron 011,Inh L1-2 VIP TSPAN12,,CS1908210,Inh L1-2 VIP TSPAN12
CS1908210012,Neuron 012,Inh L1-4 VIP CHRNA6,,CS1908210,Inh L1-4 VIP CHRNA6
CS1908210013,Neuron 013,Inh L1-3 VIP ADAMTSL1,,CS1908210,Inh L1-3 VIP ADAMTSL1
CS1908210014,Neuron 014,Inh L1-4 VIP PENK,,CS1908210,Inh L1-4 VIP PENK
CS1908210015,Neuron 015,Inh L2-6 VIP QPCT,,CS1908210,Inh L2-6 VIP QPCT
CS1908210016,Neuron 016,Inh L3-6 VIP HS3ST3A1,,CS1908210,Inh L3-6 VIP HS3ST3A1
CS1908210017,Neuron 017,Inh L1-2 VIP PCDH20,,CS1908210,Inh L1-2 VIP PCDH20
CS1908210018,Neuron 018,Inh L2-5 VIP SERPINF1,,CS1908210,Inh L2-5 VIP SERPINF1
CS1908210019,Neuron 019,Inh L2-5 VIP TYR,,CS1908210,Inh L2-5 VIP TYR
CS1908210020,Neuron 020,Inh L1-3 VIP CHRM2,,CS1908210,Inh L1-3 VIP CHRM2
CS1908210021,Neuron 021,Inh L2-4 VIP CBLN1,,CS1908210,Inh L2-4 VIP CBLN1
CS1908210022,Neuron 022,Inh L1-3 VIP CCDC184,,CS1908210,Inh L1-3 VIP CCDC184
CS1908210023,Neuron 023,Inh L1-3 VIP GGH,,CS1908210,Inh L1-3 VIP GGH
CS1908210024,Neuron 024,Inh L1-2 VIP LBH,,CS1908210,Inh L1-2 VIP LBH
CS1908210025,Neuron 025,Inh L2-3 VIP CASC6,,CS1908210,Inh L2-3 VIP CASC6
CS1908210026,Neuron 026,Inh L2-4 VIP SPAG17,,CS1908210,Inh L2-4 VIP SPAG17
CS1908210027,Neuron 027,Inh L1-4 VIP OPRM1,,CS1908210,Inh L1-4 VIP OPRM1
CS1908210028,Neuron 028,Inh L3-6 SST NPY,Sst Chodl,CS1908210,Inh L3-6 SST NPY
CS1908210029,Neuron 029,Inh L3-6 SST HPGD,,CS1908210,Inh L3-6 SST HPGD
CS1908210030,Neuron 030,Inh L4-6 SST B3GAT2,,CS1908210,Inh L4-6 SST B3GAT2
CS1908210031,Neuron 031,Inh L5-6 SST KLHDC8A,,CS1908210,Inh L5-6 SST KLHDC8A
CS1908210032,Neuron 032,Inh L5-6 SST NPM1P10,,CS1908210,Inh L5-6 SST NPM1P10
CS1908210033,Neuron 033,Inh L4-6 SST GXYLT2,,CS1908210,Inh L4-6 SST GXYLT2
CS1908210034,Neuron 034,Inh L4-5 SST STK32A,,CS1908210,Inh L4-5 SST STK32A
CS1908210035,Neuron 035,Inh L1-3 SST CALB1,,CS1908210,Inh L1-3 SST CALB1
CS1908210036,Neuron 036,Inh L3-5 SST ADGRG6,,CS1908210,Inh L3-5 SST ADGRG6
CS1908210037,Neuron 037,Inh L2-4 SST FRZB,,CS1908210,Inh L2-4 SST FRZB
CS1908210038,Neuron 038,Inh L5-6 SST TH,,CS1908210,Inh L5-6 SST TH
CS1908210039,Neuron 039,Inh L5-6 LHX6 GLP1R,,CS1908210,Inh L5-6 LHX6 GLP1R
CS1908210040,Neuron 040,Inh L5-6 PVALB LGR5,,CS1908210,Inh L5-6 PVALB LGR5
CS1908210041,Neuron 041,Inh L4-5 PVALB MEPE,,CS1908210,Inh L4-5 PVALB MEPE
CS1908210042,Neuron 042,Inh L2-4 PVALB WFDC2,,CS1908210,Inh L2-4 PVALB WFDC2
