defined_class	Marker_set_of	Minimal_markers	Brain_region_abbv	Species_abbv	Brain_region	Parent	FBeta_confidence_score
http://purl.obolibrary.org/obo/PCL_0012501	Lamp5-like Pax6	ensembl:ENSMUSG00000024867|ensembl:ENSMUSG00000027168	MOp	Mouse	UBERON:0001384	SO:0001260	0.674157303
http://purl.obolibrary.org/obo/PCL_0012502	Lamp5-like Egln3_1	ensembl:ENSMUSG00000024598|ensembl:ENSMUSG00000030525|ensembl:ENSMUSG00000059187	MOp	Mouse	UBERON:0001384	SO:0001260	0.690789474
http://purl.obolibrary.org/obo/PCL_0012503	Lamp5 Egln3_2	ensembl:ENSMUSG00000024074|ensembl:ENSMUSG00000092094	MOp	Mouse	UBERON:0001384	SO:0001260	0.607476636
http://purl.obolibrary.org/obo/PCL_0012504	Lamp5 Egln3_3	ensembl:ENSMUSG00000020902|ensembl:ENSMUSG00000021508|ensembl:ENSMUSG00000042453	MOp	Mouse	UBERON:0001384	SO:0001260	0.483558994
http://purl.obolibrary.org/obo/PCL_0012505	Lamp5 Pdlim5_1	ensembl:ENSMUSG00000027971|ensembl:ENSMUSG00000044447|ensembl:ENSMUSG00000049001	MOp	Mouse	UBERON:0001384	SO:0001260	0.514705882
http://purl.obolibrary.org/obo/PCL_0012506	Lamp5 Pdlim5_2	ensembl:ENSMUSG00000049001|ensembl:ENSMUSG00000075270	MOp	Mouse	UBERON:0001384	SO:0001260	0.689575646
http://purl.obolibrary.org/obo/PCL_0012507	Lamp5 Slc35d3	ensembl:ENSMUSG00000022231|ensembl:ENSMUSG00000055471	MOp	Mouse	UBERON:0001384	SO:0001260	0.769438445
http://purl.obolibrary.org/obo/PCL_0012508	Lamp5 Lhx6	ensembl:ENSMUSG00000029361|ensembl:ENSMUSG00000110002	MOp	Mouse	UBERON:0001384	SO:0001260	0.694444444
http://purl.obolibrary.org/obo/PCL_0012509	Sncg Col14a1	ensembl:ENSMUSG00000015766|ensembl:ENSMUSG00000039385|ensembl:ENSMUSG00000058897	MOp	Mouse	UBERON:0001384	SO:0001260	0.535714286
http://purl.obolibrary.org/obo/PCL_0012510	Sncg Slc17a8	ensembl:ENSMUSG00000019935|ensembl:ENSMUSG00000048967	MOp	Mouse	UBERON:0001384	SO:0001260	0.841750842
http://purl.obolibrary.org/obo/PCL_0012511	Sncg Calb1_1	ensembl:ENSMUSG00000027849|ensembl:ENSMUSG00000042045|ensembl:ENSMUSG00000063661	MOp	Mouse	UBERON:0001384	SO:0001260	0.577777778
http://purl.obolibrary.org/obo/PCL_0012512	Sncg Calb1_2	ensembl:ENSMUSG00000024376|ensembl:ENSMUSG00000027849|ensembl:ENSMUSG00000028222	MOp	Mouse	UBERON:0001384	SO:0001260	0.674157303
http://purl.obolibrary.org/obo/PCL_0012513	Sncg Npy2r	ensembl:ENSMUSG00000028004|ensembl:ENSMUSG00000029101	MOp	Mouse	UBERON:0001384	SO:0001260	0.721868365
http://purl.obolibrary.org/obo/PCL_0012514	Vip Sncg	ensembl:ENSMUSG00000020099|ensembl:ENSMUSG00000022656|ensembl:ENSMUSG00000049796	MOp	Mouse	UBERON:0001384	SO:0001260	0.578034682
http://purl.obolibrary.org/obo/PCL_0012515	Vip Serpinf1_1	ensembl:ENSMUSG00000026475|ensembl:ENSMUSG00000027996	MOp	Mouse	UBERON:0001384	SO:0001260	0.535714286
http://purl.obolibrary.org/obo/PCL_0012516	Vip Serpinf1_2	ensembl:ENSMUSG00000022371|ensembl:ENSMUSG00000037362|ensembl:ENSMUSG00000038718	MOp	Mouse	UBERON:0001384	SO:0001260	0.592334495
http://purl.obolibrary.org/obo/PCL_0012517	Vip-like Serpinf1_3	ensembl:ENSMUSG00000022425|ensembl:ENSMUSG00000025813|ensembl:ENSMUSG00000037362|ensembl:ENSMUSG00000040624	MOp	Mouse	UBERON:0001384	SO:0001260	0.474452555
http://purl.obolibrary.org/obo/PCL_0012518	Vip Htr1f	ensembl:ENSMUSG00000019772|ensembl:ENSMUSG00000037362|ensembl:ENSMUSG00000045648	MOp	Mouse	UBERON:0001384	SO:0001260	0.675082327
http://purl.obolibrary.org/obo/PCL_0012519	Vip Gpc3	ensembl:ENSMUSG00000019772|ensembl:ENSMUSG00000038718|ensembl:ENSMUSG00000041741	MOp	Mouse	UBERON:0001384	SO:0001260	0.750315259
http://purl.obolibrary.org/obo/PCL_0012520	Vip C1ql1	ensembl:ENSMUSG00000019772|ensembl:ENSMUSG00000020042|ensembl:ENSMUSG00000031963|ensembl:ENSMUSG00000049796	MOp	Mouse	UBERON:0001384	SO:0001260	0.556358382
http://purl.obolibrary.org/obo/PCL_0012521	Vip Mybpc1_2	ensembl:ENSMUSG00000032269|ensembl:ENSMUSG00000112276	MOp	Mouse	UBERON:0001384	SO:0001260	0.748546512
http://purl.obolibrary.org/obo/PCL_0012522	Vip Mybpc1_1	ensembl:ENSMUSG00000003657|ensembl:ENSMUSG00000110281	MOp	Mouse	UBERON:0001384	SO:0001260	0.436241611
http://purl.obolibrary.org/obo/PCL_0012523	Vip Chat_1	ensembl:ENSMUSG00000021919|ensembl:ENSMUSG00000028004	MOp	Mouse	UBERON:0001384	SO:0001260	0.675078864
http://purl.obolibrary.org/obo/PCL_0012524	Vip Mybpc1_3	ensembl:ENSMUSG00000024211|ensembl:ENSMUSG00000060371	MOp	Mouse	UBERON:0001384	SO:0001260	0.571095571
http://purl.obolibrary.org/obo/PCL_0012525	Vip Chat_2	ensembl:ENSMUSG00000026322|ensembl:ENSMUSG00000032017	MOp	Mouse	UBERON:0001384	SO:0001260	0.420054201
http://purl.obolibrary.org/obo/PCL_0012526	Vip-like Igfbp6_1	ensembl:ENSMUSG00000032625|ensembl:ENSMUSG00000110468	MOp	Mouse	UBERON:0001384	SO:0001260	0.552922591
http://purl.obolibrary.org/obo/PCL_0012527	Vip Igfbp6_2	ensembl:ENSMUSG00000042581|ensembl:ENSMUSG00000049796	MOp	Mouse	UBERON:0001384	SO:0001260	0.712809917
http://purl.obolibrary.org/obo/PCL_0012528	Sst Chodl	ensembl:ENSMUSG00000029361	MOp	Mouse	UBERON:0001384	SO:0001260	0.966748768
http://purl.obolibrary.org/obo/PCL_0012529	Sst Penk	ensembl:ENSMUSG00000021647|ensembl:ENSMUSG00000059203|ensembl:ENSMUSG00000097462	MOp	Mouse	UBERON:0001384	SO:0001260	0.654008439
http://purl.obolibrary.org/obo/PCL_0012530	Sst Myh8_1	ensembl:ENSMUSG00000042453|ensembl:ENSMUSG00000059203	MOp	Mouse	UBERON:0001384	SO:0001260	0.810546875
http://purl.obolibrary.org/obo/PCL_0012531	Sst Myh8_2	ensembl:ENSMUSG00000031841|ensembl:ENSMUSG00000051910|ensembl:ENSMUSG00000055214	MOp	Mouse	UBERON:0001384	SO:0001260	0.596153846
http://purl.obolibrary.org/obo/PCL_0012532	Sst Myh8_3	ensembl:ENSMUSG00000019828|ensembl:ENSMUSG00000025370	MOp	Mouse	UBERON:0001384	SO:0001260	0.454545455
http://purl.obolibrary.org/obo/PCL_0012533	Sst Htr1a	ensembl:ENSMUSG00000027400|ensembl:ENSMUSG00000105068	MOp	Mouse	UBERON:0001384	SO:0001260	0.639534884
http://purl.obolibrary.org/obo/PCL_0012534	Sst Etv1	ensembl:ENSMUSG00000024598|ensembl:ENSMUSG00000026141|ensembl:ENSMUSG00000031997	MOp	Mouse	UBERON:0001384	SO:0001260	0.466666667
http://purl.obolibrary.org/obo/PCL_0012535	Sst Pvalb Etv1	ensembl:ENSMUSG00000038156|ensembl:ENSMUSG00000039137|ensembl:ENSMUSG00000095105	MOp	Mouse	UBERON:0001384	SO:0001260	0.628415301
http://purl.obolibrary.org/obo/PCL_0012536	Sst Crhr2_1	ensembl:ENSMUSG00000010461|ensembl:ENSMUSG00000026393|ensembl:ENSMUSG00000031997	MOp	Mouse	UBERON:0001384	SO:0001260	0.581761006
http://purl.obolibrary.org/obo/PCL_0012537	Sst Crhr2_2	ensembl:ENSMUSG00000026765|ensembl:ENSMUSG00000031997	MOp	Mouse	UBERON:0001384	SO:0001260	0.479094077
http://purl.obolibrary.org/obo/PCL_0012538	Sst Hpse	ensembl:ENSMUSG00000030222|ensembl:ENSMUSG00000035273	MOp	Mouse	UBERON:0001384	SO:0001260	0.710382514
http://purl.obolibrary.org/obo/PCL_0012539	Sst Calb2	ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000027965	MOp	Mouse	UBERON:0001384	SO:0001260	0.782142857
http://purl.obolibrary.org/obo/PCL_0012540	Sst Pappa	ensembl:ENSMUSG00000031997|ensembl:ENSMUSG00000116610	MOp	Mouse	UBERON:0001384	SO:0001260	0.694444444
http://purl.obolibrary.org/obo/PCL_0012541	Sst Pvalb Calb2	ensembl:ENSMUSG00000020000|ensembl:ENSMUSG00000029334	MOp	Mouse	UBERON:0001384	SO:0001260	0.613048369
http://purl.obolibrary.org/obo/PCL_0012542	Sst C1ql3_1	ensembl:ENSMUSG00000052062|ensembl:ENSMUSG00000111950	MOp	Mouse	UBERON:0001384	SO:0001260	0.503597122
http://purl.obolibrary.org/obo/PCL_0012543	Sst C1ql3_2	ensembl:ENSMUSG00000030074|ensembl:ENSMUSG00000035131|ensembl:ENSMUSG00000049001	MOp	Mouse	UBERON:0001384	SO:0001260	0.684357542
http://purl.obolibrary.org/obo/PCL_0012544	Sst Tac2	ensembl:ENSMUSG00000025400|ensembl:ENSMUSG00000031841|ensembl:ENSMUSG00000036019	MOp	Mouse	UBERON:0001384	SO:0001260	0.659722222
http://purl.obolibrary.org/obo/PCL_0012545	Sst Th_1	ensembl:ENSMUSG00000022306|ensembl:ENSMUSG00000039037|ensembl:ENSMUSG00000040710	MOp	Mouse	UBERON:0001384	SO:0001260	0.512820513
http://purl.obolibrary.org/obo/PCL_0012546	Sst Th_2	ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000045731|ensembl:ENSMUSG00000052062	MOp	Mouse	UBERON:0001384	SO:0001260	0.789473684
http://purl.obolibrary.org/obo/PCL_0012547	Sst Th_3	ensembl:ENSMUSG00000000214|ensembl:ENSMUSG00000028971	MOp	Mouse	UBERON:0001384	SO:0001260	0.608695652
http://purl.obolibrary.org/obo/PCL_0012548	Pvalb Gabrg1	ensembl:ENSMUSG00000000214|ensembl:ENSMUSG00000001260	MOp	Mouse	UBERON:0001384	SO:0001260	0.688131313
http://purl.obolibrary.org/obo/PCL_0012549	Pvalb Egfem1	ensembl:ENSMUSG00000036834|ensembl:ENSMUSG00000061762|ensembl:ENSMUSG00000073154	MOp	Mouse	UBERON:0001384	SO:0001260	0.450281426
http://purl.obolibrary.org/obo/PCL_0012550	Pvalb Gpr149	ensembl:ENSMUSG00000022297|ensembl:ENSMUSG00000026452|ensembl:ENSMUSG00000031558	MOp	Mouse	UBERON:0001384	SO:0001260	0.74580759
http://purl.obolibrary.org/obo/PCL_0012551	Pvalb Kank4	ensembl:ENSMUSG00000010066|ensembl:ENSMUSG00000026452|ensembl:ENSMUSG00000034310|ensembl:ENSMUSG00000063531	MOp	Mouse	UBERON:0001384	SO:0001260	0.614035088
http://purl.obolibrary.org/obo/PCL_0012552	Pvalb Calb1_1	ensembl:ENSMUSG00000028971|ensembl:ENSMUSG00000069132|ensembl:ENSMUSG00000100650	MOp	Mouse	UBERON:0001384	SO:0001260	0.344827586
http://purl.obolibrary.org/obo/PCL_0012553	Pvalb Calb1_2	ensembl:ENSMUSG00000034324|ensembl:ENSMUSG00000038048|ensembl:ENSMUSG00000061762	MOp	Mouse	UBERON:0001384	SO:0001260	0.427644139
http://purl.obolibrary.org/obo/PCL_0012554	Pvalb Reln	ensembl:ENSMUSG00000031772|ensembl:ENSMUSG00000111061	MOp	Mouse	UBERON:0001384	SO:0001260	0.570432043
http://purl.obolibrary.org/obo/PCL_0012555	Pvalb Il1rapl2	ensembl:ENSMUSG00000010461|ensembl:ENSMUSG00000059203	MOp	Mouse	UBERON:0001384	SO:0001260	0.781878401
http://purl.obolibrary.org/obo/PCL_0012556	Pvalb Vipr2_1	ensembl:ENSMUSG00000001496|ensembl:ENSMUSG00000002900	MOp	Mouse	UBERON:0001384	SO:0001260	0.606060606
http://purl.obolibrary.org/obo/PCL_0012557	Pvalb Vipr2_2	ensembl:ENSMUSG00000020099|ensembl:ENSMUSG00000067028	MOp	Mouse	UBERON:0001384	SO:0001260	0.831702544
http://purl.obolibrary.org/obo/PCL_0012558	L2/3 IT_1	ensembl:ENSMUSG00000009376|ensembl:ENSMUSG00000036545|ensembl:ENSMUSG00000098097	MOp	Mouse	UBERON:0001384	SO:0001260	0.542729152
http://purl.obolibrary.org/obo/PCL_0012559	L2/3 IT_2	ensembl:ENSMUSG00000026676|ensembl:ENSMUSG00000027210|ensembl:ENSMUSG00000029705|ensembl:ENSMUSG00000062372	MOp	Mouse	UBERON:0001384	SO:0001260	0.520489095
http://purl.obolibrary.org/obo/PCL_0012560	L2/3 IT_3	ensembl:ENSMUSG00000031216|ensembl:ENSMUSG00000042589|ensembl:ENSMUSG00000056427	MOp	Mouse	UBERON:0001384	SO:0001260	0.763433413
http://purl.obolibrary.org/obo/PCL_0012561	L4/5 IT_1	ensembl:ENSMUSG00000017978|ensembl:ENSMUSG00000036192|ensembl:ENSMUSG00000073565	MOp	Mouse	UBERON:0001384	SO:0001260	0.733776479
http://purl.obolibrary.org/obo/PCL_0012562	L4/5 IT_2	ensembl:ENSMUSG00000004415|ensembl:ENSMUSG00000032564|ensembl:ENSMUSG00000059203	MOp	Mouse	UBERON:0001384	SO:0001260	0.706892034
http://purl.obolibrary.org/obo/PCL_0012563	L5 IT_1	ensembl:ENSMUSG00000022419|ensembl:ENSMUSG00000059203	MOp	Mouse	UBERON:0001384	SO:0001260	
http://purl.obolibrary.org/obo/PCL_0012564	L5 IT_2	ensembl:ENSMUSG00000003746|ensembl:ENSMUSG00000022419|ensembl:ENSMUSG00000053399|ensembl:ENSMUSG00000116610	MOp	Mouse	UBERON:0001384	SO:0001260	0.40942928
http://purl.obolibrary.org/obo/PCL_0012565	L5 IT_3	ensembl:ENSMUSG00000017978|ensembl:ENSMUSG00000019889|ensembl:ENSMUSG00000022425|ensembl:ENSMUSG00000055214	MOp	Mouse	UBERON:0001384	SO:0001260	0.497550521
http://purl.obolibrary.org/obo/PCL_0012566	L5 IT_4	ensembl:ENSMUSG00000029154|ensembl:ENSMUSG00000045613|ensembl:ENSMUSG00000055214	MOp	Mouse	UBERON:0001384	SO:0001260	0.523516643
http://purl.obolibrary.org/obo/PCL_0012567	L6 IT_1	ensembl:ENSMUSG00000021765|ensembl:ENSMUSG00000052430|ensembl:ENSMUSG00000059857	MOp	Mouse	UBERON:0001384	SO:0001260	0.614483173
http://purl.obolibrary.org/obo/PCL_0012568	L6 IT_2	ensembl:ENSMUSG00000028909|ensembl:ENSMUSG00000049630|ensembl:ENSMUSG00000052430	MOp	Mouse	UBERON:0001384	SO:0001260	0.579234973
http://purl.obolibrary.org/obo/PCL_0012569	L6 IT Car3	ensembl:ENSMUSG00000026826|ensembl:ENSMUSG00000042596	MOp	Mouse	UBERON:0001384	SO:0001260	0.689655172
http://purl.obolibrary.org/obo/PCL_0012570	L5 ET_1	ensembl:ENSMUSG00000022206|ensembl:ENSMUSG00000030905|ensembl:ENSMUSG00000098760	MOp	Mouse	UBERON:0001384	SO:0001260	0.835525821
http://purl.obolibrary.org/obo/PCL_0012571	L5 ET_2	ensembl:ENSMUSG00000021541|ensembl:ENSMUSG00000022112|ensembl:ENSMUSG00000040732	MOp	Mouse	UBERON:0001384	SO:0001260	0.693311582
http://purl.obolibrary.org/obo/PCL_0012572	L5 ET_3	ensembl:ENSMUSG00000021541|ensembl:ENSMUSG00000022112|ensembl:ENSMUSG00000039620|ensembl:ENSMUSG00000042453	MOp	Mouse	UBERON:0001384	SO:0001260	0.506547209
http://purl.obolibrary.org/obo/PCL_0012573	L5 ET_4	ensembl:ENSMUSG00000043659|ensembl:ENSMUSG00000098760	MOp	Mouse	UBERON:0001384	SO:0001260	0.713302752
http://purl.obolibrary.org/obo/PCL_0012574	L5/6 NP CT	ensembl:ENSMUSG00000024517|ensembl:ENSMUSG00000034009|ensembl:ENSMUSG00000047907	MOp	Mouse	UBERON:0001384	SO:0001260	0.3784219
http://purl.obolibrary.org/obo/PCL_0012575	L6 CT Gpr139	ensembl:ENSMUSG00000010651|ensembl:ENSMUSG00000063564|ensembl:ENSMUSG00000066197	MOp	Mouse	UBERON:0001384	SO:0001260	0.572033898
http://purl.obolibrary.org/obo/PCL_0012576	L6 CT Cpa6	ensembl:ENSMUSG00000022306|ensembl:ENSMUSG00000029563|ensembl:ENSMUSG00000078591	MOp	Mouse	UBERON:0001384	SO:0001260	0.823050986
http://purl.obolibrary.org/obo/PCL_0012577	L6 CT Grp	ensembl:ENSMUSG00000024517|ensembl:ENSMUSG00000027210|ensembl:ENSMUSG00000036218|ensembl:ENSMUSG00000049148	MOp	Mouse	UBERON:0001384	SO:0001260	0.434618292
http://purl.obolibrary.org/obo/PCL_0012578	L6 CT Pou3f2	ensembl:ENSMUSG00000038331|ensembl:ENSMUSG00000040420|ensembl:ENSMUSG00000111765	MOp	Mouse	UBERON:0001384	SO:0001260	0.721017908
http://purl.obolibrary.org/obo/PCL_0012579	L6 CT Kit_1	ensembl:ENSMUSG00000025997|ensembl:ENSMUSG00000111765	MOp	Mouse	UBERON:0001384	SO:0001260	0.759368836
http://purl.obolibrary.org/obo/PCL_0012580	L6 CT Kit_2	ensembl:ENSMUSG00000026826|ensembl:ENSMUSG00000034009|ensembl:ENSMUSG00000047907|ensembl:ENSMUSG00000096972	MOp	Mouse	UBERON:0001384	SO:0001260	0.684931507
http://purl.obolibrary.org/obo/PCL_0012581	L6b Col6a1	ensembl:ENSMUSG00000019997|ensembl:ENSMUSG00000046321|ensembl:ENSMUSG00000052430	MOp	Mouse	UBERON:0001384	SO:0001260	0.496671787
http://purl.obolibrary.org/obo/PCL_0012582	L6b Shisa6_1	ensembl:ENSMUSG00000013766|ensembl:ENSMUSG00000024236|ensembl:ENSMUSG00000039714	MOp	Mouse	UBERON:0001384	SO:0001260	0.428870293
http://purl.obolibrary.org/obo/PCL_0012583	L6b Shisa6_2	ensembl:ENSMUSG00000020000|ensembl:ENSMUSG00000026826	MOp	Mouse	UBERON:0001384	SO:0001260	0.731638418
http://purl.obolibrary.org/obo/PCL_0012584	L6b Ror1	ensembl:ENSMUSG00000019997|ensembl:ENSMUSG00000039714|ensembl:ENSMUSG00000043556	MOp	Mouse	UBERON:0001384	SO:0001260	0.748502994
http://purl.obolibrary.org/obo/PCL_0012585	L6b Kcnip1	ensembl:ENSMUSG00000051611|ensembl:ENSMUSG00000053368|ensembl:ENSMUSG00000107384	MOp	Mouse	UBERON:0001384	SO:0001260	0.532544379
http://purl.obolibrary.org/obo/PCL_0012586	L5/6 NP_1	ensembl:ENSMUSG00000028031|ensembl:ENSMUSG00000039519|ensembl:ENSMUSG00000045648	MOp	Mouse	UBERON:0001384	SO:0001260	0.61192137
http://purl.obolibrary.org/obo/PCL_0012587	L5/6 NP_2	ensembl:ENSMUSG00000019935|ensembl:ENSMUSG00000035258	MOp	Mouse	UBERON:0001384	SO:0001260	0.602284528
http://purl.obolibrary.org/obo/PCL_0012588	L5/6 NP_3	ensembl:ENSMUSG00000026344|ensembl:ENSMUSG00000047907	MOp	Mouse	UBERON:0001384	SO:0001260	0.817046688
http://purl.obolibrary.org/obo/PCL_0012589	Meis2 (cluster)	ensembl:ENSMUSG00000023800|ensembl:ENSMUSG00000027210	MOp	Mouse	UBERON:0001384	SO:0001260	0.722891566
http://purl.obolibrary.org/obo/PCL_0012590	Meis2_Top2a	ensembl:ENSMUSG00000035551|ensembl:ENSMUSG00000098087|ensembl:ENSMUSG00000100832	MOp	Mouse	UBERON:0001384	SO:0001260	0.481481481
http://purl.obolibrary.org/obo/PCL_0012591	OPC Pdgfra	ensembl:ENSMUSG00000029231|ensembl:ENSMUSG00000039954	MOp	Mouse	UBERON:0001384	SO:0001260	0.935195763
http://purl.obolibrary.org/obo/PCL_0012592	Astro_Top2a	ensembl:ENSMUSG00000042489|ensembl:ENSMUSG00000098318	MOp	Mouse	UBERON:0001384	SO:0001260	0.43062201
http://purl.obolibrary.org/obo/PCL_0012593	Astro Aqp4_Gfap	ensembl:ENSMUSG00000026697	MOp	Mouse	UBERON:0001384	SO:0001260	0.97951423
http://purl.obolibrary.org/obo/PCL_0012594	Astro Aqp4_Slc7a10	ensembl:ENSMUSG00000025537|ensembl:ENSMUSG00000030235	MOp	Mouse	UBERON:0001384	SO:0001260	0.956435458
http://purl.obolibrary.org/obo/PCL_0012595	Oligo Enpp6_1	ensembl:ENSMUSG00000013523|ensembl:ENSMUSG00000024985	MOp	Mouse	UBERON:0001384	SO:0001260	0.628626692
http://purl.obolibrary.org/obo/PCL_0012596	Oligo Enpp6_2	ensembl:ENSMUSG00000021835|ensembl:ENSMUSG00000115529	MOp	Mouse	UBERON:0001384	SO:0001260	0.760784314
http://purl.obolibrary.org/obo/PCL_0012597	Oligo Enpp6_3	ensembl:ENSMUSG00000015202|ensembl:ENSMUSG00000026347|ensembl:ENSMUSG00000026566|ensembl:ENSMUSG00000049690	MOp	Mouse	UBERON:0001384	SO:0001260	0.604166667
http://purl.obolibrary.org/obo/PCL_0012598	Oligo Enpp6_4	ensembl:ENSMUSG00000015202|ensembl:ENSMUSG00000115529	MOp	Mouse	UBERON:0001384	SO:0001260	0.815939279
http://purl.obolibrary.org/obo/PCL_0012599	Oligo Opalin_1	ensembl:ENSMUSG00000036777|ensembl:ENSMUSG00000039316|ensembl:ENSMUSG00000111994	MOp	Mouse	UBERON:0001384	SO:0001260	0.673463628
http://purl.obolibrary.org/obo/PCL_0012600	Oligo Opalin_2	ensembl:ENSMUSG00000024810|ensembl:ENSMUSG00000032841	MOp	Mouse	UBERON:0001384	SO:0001260	0.873136368
http://purl.obolibrary.org/obo/PCL_0012601	Oligo Opalin_3	ensembl:ENSMUSG00000032517|ensembl:ENSMUSG00000041460|ensembl:ENSMUSG00000049690	MOp	Mouse	UBERON:0001384	SO:0001260	0.401804018
