defined_class	prefLabel	Synonyms_from_taxonomy	Comment	Gross_cell_type	Taxon	Brain_region	Alias_citations	Allen_markers	Brain_region_abbv	Species_abbv	Individual	part_of	has_soma_location	Minimal_markers
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_1	Lamp5_1	Integrated 01|Lamp5_1	cell_set_preferred_alias:Lamp5_1 ; original_label:Lamp5_1 ; cell_set_label:Integrated 01 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_1		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_2	Lamp5_5	Integrated 02|Lamp5_5	cell_set_preferred_alias:Lamp5_5 ; original_label:Lamp5_5 ; cell_set_label:Integrated 02 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_2		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_3	Lamp5_2	Integrated 03|Lamp5 Rosehip|Lamp5_2	cell_set_preferred_alias:Lamp5_2 ; original_label:Lamp5_2 ; cell_set_label:Integrated 03 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:Lamp5 Rosehip	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_3		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_4	Lamp5_3	Integrated 04|Lamp5 Lhx6|Lamp5_3	cell_set_preferred_alias:Lamp5_3 ; original_label:Lamp5_3 ; cell_set_label:Integrated 04 ; cell_set_aligned_alias:Lamp5 Lhx6 ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_4		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_5	Sncg_1	Integrated 05|Sncg_1	cell_set_preferred_alias:Sncg_1 ; original_label:Sncg_1 ; cell_set_label:Integrated 05 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_5		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_6	Sncg_2	Integrated 06|Sncg_2	cell_set_preferred_alias:Sncg_2 ; original_label:Sncg_2 ; cell_set_label:Integrated 06 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_6		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_7	Lamp5_4	Integrated 07|Lamp5_4	cell_set_preferred_alias:Lamp5_4 ; original_label:Lamp5_4 ; cell_set_label:Integrated 07 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_7		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_8	Sncg_3	Integrated 08|Sncg_3	cell_set_preferred_alias:Sncg_3 ; original_label:Sncg_3 ; cell_set_label:Integrated 08 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_8		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_9	Sncg_4	Integrated 09|Sncg_4	cell_set_preferred_alias:Sncg_4 ; original_label:Sncg_4 ; cell_set_label:Integrated 09 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_9		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_10	Vip_1	Integrated 10|Vip_1	cell_set_preferred_alias:Vip_1 ; original_label:Vip_1 ; cell_set_label:Integrated 10 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_10		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_11	Vip_2	Integrated 11|Vip_2	cell_set_preferred_alias:Vip_2 ; original_label:Vip_2 ; cell_set_label:Integrated 11 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_11		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_12	Vip_3	Integrated 12|Vip_3	cell_set_preferred_alias:Vip_3 ; original_label:Vip_3 ; cell_set_label:Integrated 12 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_12		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_13	Vip_4	Integrated 13|Vip_4	cell_set_preferred_alias:Vip_4 ; original_label:Vip_4 ; cell_set_label:Integrated 13 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_13		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_14	Sst Chodl	Integrated 14|Long-range projecting Sst|Sst Chodl	cell_set_preferred_alias:Sst Chodl ; original_label:Sst Chodl ; cell_set_label:Integrated 14 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:Long-range projecting Sst	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_14		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_15	Sst_1	Integrated 15|Sst_1	cell_set_preferred_alias:Sst_1 ; original_label:Sst_1 ; cell_set_label:Integrated 15 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_15		UBERON:0001384	
