defined_class	prefLabel	Synonyms_from_taxonomy	Comment	Gross_cell_type	Taxon	Brain_region	Alias_citations	Minimal_markers	Allen_markers	Individual	part_of	has_soma_location	Brain_region_abbv	Species_abbv
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_1	Inh L1 LAMP5 PVRL2	Inh L1 LAMP5 PVRL2|RNAseq 001	cell_set_preferred_alias:Inh L1 LAMP5 PVRL2 ; original_label:Inh L1 LAMP5 PVRL2 ; cell_set_label:RNAseq 001 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000054803|ensembl:ENSG00000138741|ensembl:ENSG00000189056|ensembl:ENSG00000249853		AllenDend:CS201912131_1		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_2	Inh L1 LAMP5 RAB11FIP1	Inh L1 LAMP5 RAB11FIP1|RNAseq 002	cell_set_preferred_alias:Inh L1 LAMP5 RAB11FIP1 ; original_label:Inh L1 LAMP5 RAB11FIP1 ; cell_set_label:RNAseq 002 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000133392|ensembl:ENSG00000164946|ensembl:ENSG00000173157		AllenDend:CS201912131_2		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_3	Inh L1-6 LAMP5 AARD	Inh L1-6 LAMP5 AARD|RNAseq 003	cell_set_preferred_alias:Inh L1-6 LAMP5 AARD ; original_label:Inh L1-6 LAMP5 AARD ; cell_set_label:RNAseq 003 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000157404|ensembl:ENSG00000164946|ensembl:ENSG00000183580|ensembl:ENSG00000186314		AllenDend:CS201912131_3		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_4	Inh L1-6 LAMP5 NES	Inh L1-6 LAMP5 NES|RNAseq 004	cell_set_preferred_alias:Inh L1-6 LAMP5 NES ; original_label:Inh L1-6 LAMP5 NES ; cell_set_label:RNAseq 004 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000044524|ensembl:ENSG00000112319|ensembl:ENSG00000157404|ensembl:ENSG00000162631|ensembl:ENSG00000169071		AllenDend:CS201912131_4		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_5	Inh L1-6 LAMP5 CA1	Inh L1-6 LAMP5 CA1|RNAseq 005	cell_set_preferred_alias:Inh L1-6 LAMP5 CA1 ; original_label:Inh L1-6 LAMP5 CA1 ; cell_set_label:RNAseq 005 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000089250|ensembl:ENSG00000182601		AllenDend:CS201912131_5		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_6	Inh L5-6 LAMP5 CRABP1	Inh L5-6 LAMP5 CRABP1|RNAseq 006	cell_set_preferred_alias:Inh L5-6 LAMP5 CRABP1 ; original_label:Inh L5-6 LAMP5 CRABP1 ; cell_set_label:RNAseq 006 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000170962		AllenDend:CS201912131_6		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_7	Inh L3-6 PAX6 LINC01497	Inh L3-6 PAX6 LINC01497|RNAseq 007	cell_set_preferred_alias:Inh L3-6 PAX6 LINC01497 ; original_label:Inh L3-6 PAX6 LINC01497 ; cell_set_label:RNAseq 007 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000099260|ensembl:ENSG00000189056		AllenDend:CS201912131_7		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_8	Inh L1 PAX6 MIR101-1	Inh L1 PAX6 MIR101-1|RNAseq 008	cell_set_preferred_alias:Inh L1 PAX6 MIR101-1 ; original_label:Inh L1 PAX6 MIR101-1 ; cell_set_label:RNAseq 008 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000163513|ensembl:ENSG00000189056		AllenDend:CS201912131_8		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_9	Inh L1 PAX6 CHRFAM7A	Inh L1 PAX6 CHRFAM7A|RNAseq 009	cell_set_preferred_alias:Inh L1 PAX6 CHRFAM7A ; original_label:Inh L1 PAX6 CHRFAM7A ; cell_set_label:RNAseq 009 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000118432|ensembl:ENSG00000175344|ensembl:ENSG00000267712		AllenDend:CS201912131_9		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_10	Inh L1-6 VIP SLC7A6OS	Inh L1-6 VIP SLC7A6OS|RNAseq 010	cell_set_preferred_alias:Inh L1-6 VIP SLC7A6OS ; original_label:Inh L1-6 VIP SLC7A6OS ; cell_set_label:RNAseq 010 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000118432|ensembl:ENSG00000167081	ensembl:ENSG00000146469	AllenDend:CS201912131_10		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_11	Inh L2 PAX6 FREM2	Inh L2 PAX6 FREM2|RNAseq 011	cell_set_preferred_alias:Inh L2 PAX6 FREM2 ; original_label:Inh L2 PAX6 FREM2 ; cell_set_label:RNAseq 011 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000160161|ensembl:ENSG00000163453		AllenDend:CS201912131_11		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_12	Inh L1-2 VIP HTR3A	Inh L1-2 VIP HTR3A|RNAseq 012	cell_set_preferred_alias:Inh L1-2 VIP HTR3A ; original_label:Inh L1-2 VIP HTR3A ; cell_set_label:RNAseq 012 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000166736	ensembl:ENSG00000146469|ensembl:ENSG00000166736	AllenDend:CS201912131_12		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_13	Inh L1-2 VIP WNT4	Inh L1-2 VIP WNT4|RNAseq 013	cell_set_preferred_alias:Inh L1-2 VIP WNT4 ; original_label:Inh L1-2 VIP WNT4 ; cell_set_label:RNAseq 013 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000170743	ensembl:ENSG00000146469	AllenDend:CS201912131_13		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_14	Inh L1 LAMP5 BMP2	Inh L1 LAMP5 BMP2|RNAseq 014	cell_set_preferred_alias:Inh L1 LAMP5 BMP2 ; original_label:Inh L1 LAMP5 BMP2 ; cell_set_label:RNAseq 014 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000164946|ensembl:ENSG00000204262		AllenDend:CS201912131_14		UBERON:0001384		
