defined_class	prefLabel	Curated_synonyms	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub	Projection_type	Layers	Definition
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_1	Lamp5-like Pax6					ensembl:ENSMUSG00000027168		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_2	Lamp5-like Egln3_1		CL:4023010		PMID:34616066	ensembl:ENSMUSG00000035105		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_3	Lamp5 Egln3_2		CL:4023022		PMID:34616066	ensembl:ENSMUSG00000027270|ensembl:ENSMUSG00000035105		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_4	Lamp5 Egln3_3					ensembl:ENSMUSG00000027270|ensembl:ENSMUSG00000035105		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_5	Lamp5 Pdlim5_1					ensembl:ENSMUSG00000027270|ensembl:ENSMUSG00000028273		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_6	Lamp5 Pdlim5_2					ensembl:ENSMUSG00000027270|ensembl:ENSMUSG00000028273		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_7	Lamp5 Slc35d3					ensembl:ENSMUSG00000027270|ensembl:ENSMUSG00000050473		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_8	Lamp5 Lhx6		CL:4023023		PMID:34616066	ensembl:ENSMUSG00000027270|ensembl:ENSMUSG00000026890		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_9	Sncg Col14a1					ensembl:ENSMUSG00000023064|ensembl:ENSMUSG00000022371		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_10	Sncg Slc17a8					ensembl:ENSMUSG00000023064|ensembl:ENSMUSG00000019935	Low expression of Sncg	PMID:34616062			
