defined_class	prefLabel	Curated_synonyms	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub	Projection_type	Layers	Cross_species_text	Comment
http://purl.obolibrary.org/obo/PCL_0013001	Inh SST NPY					entrez:100412902|entrez:100385471		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013002	Inh LAMP5 COL5A2					entrez:100410437|entrez:100394853		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013003	Inh LAMP5 TOX2					entrez:100410437|entrez:100400741		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013004	Inh LAMP5 TRPC6					entrez:100410437|entrez:100395510		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013005	Inh LAMP5 WWP1					entrez:100410437|entrez:100400473		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013006	Inh LAMP5 LOC108591196					entrez:100410437|entrez:108591196		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013007	Inh PAX6 HMBOX1					entrez:100404923|entrez:100394786		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013008	Inh SNCG PLPPR1					entrez:100401551|entrez:100391157	low but present expression of SNCG	PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013009	Inh PAX6 ANKRD6					entrez:100404923|entrez:103788711		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013010	Inh VIP CYP19A1					entrez:100386986|entrez:100411557		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013011	Inh SNCG CNTN4					entrez:100401551|entrez:100412547		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013012	Inh PAX6 CDH4					entrez:100404923|entrez:100390248		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013013	Inh GAD1 PCP4					entrez:100411537|entrez:100402813		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013014	Inh GAD1 LOC108589948					entrez:100411537|entrez:108589948		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013015	Inh VIP THSD7B					entrez:100386986|entrez:100391230		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013016	Inh VIP LOC100397259					entrez:100386986|entrez:100397259		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013017	Inh GAD1 NPSR1					entrez:100411537|entrez:100415735		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013018	Inh SNCG LOC108587895					entrez:100401551|entrez:108587895	low but present expression of SNCG	PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013019	Inh VIP LOC108589153					entrez:100386986|entrez:108589153		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013020	Inh VIP FIGN					entrez:100386986|entrez:100390875	low but present expression of VIP	PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013021	Inh VIP GPR149					entrez:100386986|entrez:100388643		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013022	Inh VIP LOC108588071					entrez:100386986|entrez:108588071		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013023	Inh VIP VAT1L					entrez:100386986|entrez:100414966		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013024	Inh VIP CIT					entrez:100386986|entrez:100403341		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013025	Inh VIP LOC108588539					entrez:100386986|entrez:108588539		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013026	Inh PAX6 MEIS2		CL:4023065		PMID: 34616075	entrez:100404923|entrez:100392593		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013027	Inh SST LOC108589054					entrez:100412902|entrez:108589054		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013028	Inh SST LOC108588801					entrez:100412902|entrez:108588801		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013029	Inh SST LOC103788138					entrez:100412902|entrez:103788138		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013030	Inh SST MPP5					entrez:100412902|entrez:100398752		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013031	Inh SST KIRREL3					entrez:100412902|entrez:100408195		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013032	Inh SST LOC103788660					entrez:100412902|entrez:103788660		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013033	Inh SST CBLN4					entrez:100412902|entrez:100397008		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013034	Inh SST ABI3BP					entrez:100412902|entrez:100393956		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013035	Inh SST TMEFF2					entrez:100412902|entrez:100406837		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013036	Inh SST P4HA1					entrez:100412902|entrez:100393458		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013037	Inh SST LTBP1					entrez:100412902|entrez:100404471		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013038	Inh SST AIM1					entrez:100412902|entrez:100406444		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013039	Inh SST VAPA					entrez:100412902|entrez:100394296		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013040	Inh SST PCSK5					entrez:100412902|entrez:100399969		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013041	Inh PVALB OTOGL					entrez:100390686|entrez:100390046		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013042	Inh PVALB LOC103790362					entrez:100390686|entrez:103790362		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013043	Inh PVALB OSBP2					entrez:100390686|entrez:100394197		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013044	Inh PVALB LOC103789439					entrez:100390686|entrez:103789439		PMID:34616066				
